date,STR
2015-06-12,86.5
2015-06-15,86.5
2015-06-16,83.6
2015-06-17,83.6
2015-06-18,87.95
2015-06-19,85.0
2015-06-22,82.1
2015-06-23,82.1
2015-06-24,86.0
2015-06-25,89.89
2015-06-26,88.0
2015-06-29,87.8
2015-06-30,87.8
2015-07-01,87.7
2015-07-02,87.5
2015-07-03,82.01
2015-07-06,82.01
2015-07-07,86.9
2015-07-08,83.0
2015-07-09,82.0
2015-07-10,86.4
2015-07-13,85.0
2015-07-14,85.0
2015-07-15,80.05
2015-07-16,79.2
2015-07-20,83.95
2015-07-21,82.0
2015-07-22,85.4
2015-07-23,85.4
2015-07-24,90.52
2015-07-27,92.0
2015-07-28,95.0
2015-07-29,89.46
2015-07-31,93.9
2015-08-03,90.0
2015-08-04,92.0
2015-08-05,92.0
2015-08-06,90.0
2015-08-07,90.0
2015-08-10,95.4
2015-08-11,101.1
2015-08-12,106.0
2015-08-13,106.6
2015-08-17,106.6
2015-08-18,106.0
2015-08-19,103.0
2015-08-24,102.0
2015-08-25,97.9
2015-08-26,103.75
2015-08-27,101.95
2015-08-28,95.84
2015-08-31,95.84
2015-09-01,95.0
2015-09-02,93.0
2015-09-03,96.9
2015-09-04,96.9
2015-09-07,93.0
2015-09-08,94.0
2015-09-09,95.0
2015-09-10,95.0
2015-09-11,95.0
2015-09-14,94.0
2015-09-15,93.99
2015-09-16,94.0
2015-09-17,92.0
2015-09-18,92.9
2015-09-21,92.0
2015-09-22,93.0
2015-09-23,93.0
2015-09-28,83.7
2015-09-29,75.33
2015-09-30,71.0
2015-10-01,67.0
2015-10-02,63.0
2015-10-05,60.0
2015-10-06,54.0
2015-10-07,48.6
2015-10-08,48.0
2015-10-09,45.12
2015-10-12,42.42
2015-10-13,39.88
2015-10-14,37.49
2015-10-16,38.16
2015-10-19,40.4
2015-10-20,44.44
2015-10-21,47.0
2015-10-22,44.2
2015-10-23,46.0
2015-10-26,48.0
2015-10-27,45.12
2015-10-28,43.5
2015-10-29,45.0
2015-10-30,44.99
2015-11-02,45.0
2015-11-03,43.52
2015-11-04,46.13
2015-11-05,48.0
2015-11-09,52.79
2015-11-10,51.0
2015-11-11,53.8
2015-11-12,50.58
2015-11-13,48.42
2015-11-16,51.32
2015-11-17,50.0
2015-11-19,51.8
2015-11-20,50.0
2015-11-23,48.0
2015-11-24,45.12
2015-11-25,42.45
2015-11-26,44.5
2015-11-27,44.5
2015-11-30,45.79
2015-12-01,44.0
2015-12-02,45.6
2015-12-03,45.58
2015-12-04,45.58
2015-12-07,45.0
2015-12-08,44.8
2015-12-09,43.0
2015-12-10,40.43
2015-12-11,38.11
2015-12-14,40.39
2015-12-15,42.0
2015-12-16,40.0
2015-12-17,40.0
2015-12-18,38.0
2015-12-21,38.0
2015-12-22,37.95
2015-12-23,37.0
2015-12-28,34.8
2015-12-29,34.5
2015-12-30,35.0
2015-12-31,35.0
2016-01-04,35.1
2016-01-05,37.2
2016-01-06,39.43
2016-01-07,43.3
2016-01-08,40.71
2016-01-12,41.0
2016-01-13,42.95
2016-01-14,41.0
2016-01-15,42.3
2016-01-18,41.8
2016-01-19,40.5
2016-01-20,40.8
2016-01-21,40.3
2016-01-22,39.8
2016-01-25,37.42
2016-01-26,36.16
2016-01-27,38.0
2016-01-28,39.0
2016-01-29,39.8
2016-02-01,39.0
2016-02-02,39.0
2016-02-03,37.5
2016-02-04,39.0
2016-02-05,39.0
2016-02-08,36.9
2016-02-09,38.3
2016-02-10,40.0
2016-02-11,42.4
2016-02-12,46.64
2016-02-15,50.99
2016-02-16,56.08
2016-02-17,61.68
2016-02-18,61.68
2016-02-19,59.99
2016-02-22,56.4
2016-02-23,50.76
2016-02-24,52.0
2016-02-25,50.0
2016-02-26,55.0
2016-02-29,55.0
2016-03-01,51.7
2016-03-02,53.0
2016-03-03,57.29
2016-03-04,60.72
2016-03-07,61.0
2016-03-08,58.2
2016-03-09,56.01
2016-03-10,55.15
2016-03-11,57.0
2016-03-14,55.15
2016-03-15,57.27
2016-03-16,56.91
2016-03-17,55.0
2016-03-18,56.49
2016-03-21,54.0
2016-03-22,54.0
2016-03-23,53.0
2016-03-24,54.0
2016-03-25,54.3
2016-03-28,53.16
2016-03-29,56.17
2016-03-30,55.99
2016-03-31,50.4
2016-04-01,48.22
2016-04-04,47.01
2016-04-05,48.5
2016-04-06,53.35
2016-04-07,48.04
2016-04-08,50.0
2016-04-11,48.22
2016-04-12,49.01
2016-04-13,50.84
2016-04-14,50.8
2016-04-15,50.79
2016-04-18,52.0
2016-04-19,51.89
2016-04-20,51.0
2016-04-21,49.51
2016-04-22,49.51
2016-04-25,51.8
2016-04-26,51.0
2016-04-27,51.0
