date,NEJ
2003-07-25,181.818
2003-08-01,181.818
2003-08-11,183.333
2003-08-13,183.333
2003-08-18,184.091
2003-08-25,185.606
2003-08-26,184.091
2003-08-28,193.106
2003-08-29,185.606
2003-09-02,185.606
2003-09-04,187.121
2003-09-08,191.667
2003-09-09,191.667
2003-09-10,196.212
2003-09-11,195.455
2003-09-15,203.03
2003-09-16,195.455
2003-09-19,191.667
2003-09-23,190.152
2003-09-24,195.455
2003-09-26,200.0
2003-09-29,200.0
2003-10-02,200.758
2003-10-03,200.076
2003-10-06,200.0
2003-10-07,190.909
2003-10-08,195.492
2003-10-21,197.008
2003-10-22,197.727
2003-10-23,209.091
2003-11-07,212.121
2003-11-12,219.697
2003-11-13,219.659
2003-11-14,212.121
2003-11-17,211.212
2003-11-19,220.152
2003-11-24,220.455
2003-11-25,221.97
2003-11-28,221.97
2003-12-01,234.848
2003-12-05,233.333
2003-12-10,231.061
2003-12-11,231.061
2003-12-12,227.273
2003-12-18,227.273
2003-12-19,227.235
2003-12-26,227.273
2003-12-29,227.273
2003-12-31,227.273
2004-01-02,227.273
2004-01-06,227.273
2004-01-09,231.061
2004-01-16,234.848
2004-01-19,234.848
2004-01-26,263.636
2004-01-27,259.091
2004-01-28,272.727
2004-01-29,280.303
2004-01-30,280.303
2004-02-03,280.303
2004-02-05,285.606
2004-02-09,285.606
2004-02-10,302.727
2004-02-11,310.606
2004-02-12,310.606
2004-02-13,310.606
2004-02-16,310.606
2004-02-17,310.606
2004-02-18,325.758
2004-02-19,344.697
2004-02-20,348.485
2004-02-25,348.485
2004-02-26,349.242
2004-03-01,350.758
2004-03-02,352.273
2004-03-03,363.636
2004-03-04,364.394
2004-03-08,371.212
2004-03-12,371.212
2004-03-16,371.174
2004-03-25,309.091
2004-04-13,303.788
2004-04-16,321.97
2004-04-19,303.03
2004-05-04,321.212
2004-05-05,339.394
2004-05-10,327.273
2004-05-11,340.909
2004-05-12,340.909
2004-05-13,340.909
2004-05-14,340.909
2004-05-17,340.909
2004-05-18,340.909
2004-05-19,340.909
2004-05-20,341.667
2004-05-21,344.697
2004-05-31,344.697
2004-06-03,344.697
2004-06-08,308.333
2004-06-11,319.697
2004-06-23,321.97
2004-06-24,340.909
2004-06-25,344.697
2004-06-28,344.697
2004-07-08,346.97
2004-07-15,352.273
2004-07-20,340.909
2004-07-23,348.485
2004-07-27,348.523
2004-07-28,352.273
2004-08-03,359.848
2004-08-04,363.636
2004-08-11,348.485
2004-08-12,369.394
2004-08-13,368.939
2004-08-16,378.788
2004-08-18,379.545
2004-08-24,389.394
2004-08-25,389.394
2004-08-27,393.182
2004-08-30,393.182
2004-09-01,416.667
2004-09-02,393.939
2004-09-03,397.727
2004-09-06,398.485
2004-09-07,396.97
2004-09-09,416.667
2004-09-10,416.667
2004-09-13,439.394
2004-09-14,462.121
2004-09-20,440.909
2004-09-23,440.909
2004-09-28,443.939
2004-09-29,448.485
2004-09-30,431.818
2004-10-05,454.545
2004-10-11,440.152
2004-10-12,440.152
2004-10-13,439.394
2004-10-14,448.485
2004-10-18,450.758
2004-10-19,451.515
2004-10-21,455.303
2004-10-22,452.273
2004-10-28,441.667
2004-11-01,454.545
2004-11-02,454.545
2004-11-09,428.03
2004-11-12,453.03
2004-11-16,456.818
2004-11-17,458.333
2004-11-19,458.333
2004-11-23,455.303
2004-11-24,455.303
2004-11-29,455.303
2004-11-30,455.303
2004-12-02,455.303
2004-12-06,455.303
2004-12-08,458.333
2004-12-21,454.545
2004-12-22,462.121
2004-12-31,462.879
2005-01-03,462.879
2005-01-04,462.879
2005-01-12,473.485
2005-01-13,474.242
2005-01-18,477.273
2005-01-20,505.303
2005-01-25,535.606
2005-01-26,536.364
2005-02-09,536.364
2005-02-15,536.364
2005-02-17,568.182
2005-02-18,602.273
2005-02-21,608.333
2005-02-22,610.606
2005-02-23,637.879
2005-02-24,675.758
2005-02-25,681.818
2005-02-28,722.727
2005-03-01,696.97
2005-03-02,681.818
2005-03-08,681.061
2005-03-10,645.455
2005-03-11,607.576
2005-03-14,608.333
2005-03-15,608.333
2005-03-30,644.697
2005-04-07,643.939
2005-04-19,644.697
2005-04-25,644.697
2005-05-02,644.697
2005-05-05,666.667
2005-06-08,659.091
2005-06-09,666.667
2005-06-27,666.667
2005-07-04,628.788
2005-07-06,636.364
2005-07-15,659.091
2005-07-22,659.091
2005-07-27,658.333
2005-08-02,659.091
2005-08-03,659.091
2005-08-10,659.091
2005-08-16,681.818
2005-08-25,681.818
2005-08-26,659.091
2005-09-19,659.091
2005-09-20,659.091
2005-09-21,659.091
2005-09-23,659.091
2005-09-26,671.212
2005-09-28,674.242
2005-09-30,674.242
2005-10-07,674.242
2005-10-13,681.818
2005-10-20,681.818
2005-10-21,681.818
2005-10-26,700.758
2005-11-02,719.697
2005-11-11,762.879
2005-11-28,772.727
2005-12-06,772.727
2005-12-07,772.727
2005-12-08,727.273
2005-12-12,727.273
2005-12-13,727.273
2005-12-23,750.0
2005-12-26,754.545
2005-12-27,754.545
2005-12-28,753.788
2005-12-29,772.727
2005-12-30,773.485
2006-01-09,757.576
2006-01-10,772.727
2006-01-24,753.788
2006-01-25,796.212
2006-02-02,796.212
2006-02-03,753.788
2006-02-14,768.939
2006-02-22,788.636
2006-03-16,765.152
2006-03-31,1022.727
2006-04-04,1022.727
2006-04-05,970.455
2006-04-20,984.848
2006-05-17,1030.303
2006-05-22,1030.303
2006-05-23,1030.303
2006-05-30,1030.303
2006-06-06,1030.303
2006-06-13,1060.606
2006-06-14,1060.606
2006-06-15,1060.606
2006-06-21,1124.242
2006-06-28,1124.242
2006-07-13,1057.5
2006-07-14,1057.5
2006-07-24,1233.333
2006-07-25,1216.667
2006-07-27,1216.667
2006-07-28,1233.333
2006-08-01,1233.333
2006-08-02,1225.0
2006-08-22,1237.5
2006-08-23,1237.5
2006-08-28,1237.5
2006-09-11,1291.667
2006-09-15,1250.0
2006-09-19,1250.0
2006-09-27,1250.0
2006-09-29,1250.0
2006-10-05,1250.0
2006-10-12,1250.0
2006-10-16,1250.0
2006-11-09,1266.667
2006-11-10,1258.333
2006-11-22,1291.667
2006-11-23,1291.667
2006-12-11,1291.667
2006-12-14,1369.167
2006-12-19,1258.333
2006-12-22,1370.0
2006-12-27,1416.667
2006-12-29,1416.667
2007-01-05,1416.667
2007-01-31,1358.333
2007-02-08,1712.5
2007-02-09,1813.333
2007-02-12,1916.667
2007-02-15,2031.667
2007-02-16,2083.333
2007-02-20,2208.333
2007-02-21,2340.833
2007-02-22,2415.833
2007-02-23,2416.667
2007-02-28,2415.833
2007-03-01,2416.667
2007-03-05,2500.0
2007-03-06,2416.667
2007-03-08,2499.167
2007-03-09,2541.667
2007-03-14,2500.0
2007-03-16,2541.667
2007-03-20,2541.667
2007-03-23,2583.333
2007-03-30,2500.0
2007-04-04,2583.333
2007-04-09,2583.333
2007-04-16,2583.333
2007-04-20,2635.0
2007-04-23,2635.0
2007-04-24,2635.0
2007-04-25,2635.0
2007-04-27,2738.333
2007-05-08,2574.167
2007-05-10,2575.0
2007-05-15,2574.167
2007-05-29,2573.333
2007-06-04,2500.0
2007-06-05,2500.0
2007-06-08,2500.0
2007-06-19,2350.833
2007-06-22,2408.333
2007-06-27,2264.167
2007-07-02,2400.0
2007-07-05,2400.0
2007-07-09,2435.833
2007-07-11,2435.833
2007-07-12,2290.0
2007-07-16,2166.667
2007-07-18,2250.0
2007-07-20,2208.333
2007-07-25,1952.5
2007-08-02,2462.5
2007-08-08,2462.5
2007-08-16,2479.167
2007-09-03,2333.333
2007-09-10,2291.667
2007-09-11,2400.0
2007-09-12,2500.0
2007-09-20,2500.0
2007-10-17,2500.0
2007-11-07,2350.0
2007-11-12,2333.333
2007-11-19,2473.333
2007-11-20,2416.667
2007-11-22,2500.0
2007-12-06,2490.833
2007-12-13,2341.667
2007-12-17,2491.667
2007-12-24,2491.667
2007-12-25,2458.333
2007-12-26,2457.5
2007-12-27,2457.5
2007-12-28,2491.667
2007-12-31,2491.667
2008-01-14,2350.0
2008-01-17,2350.0
2008-01-21,2341.667
2008-01-23,2341.667
2008-01-31,2375.0
2008-02-01,2416.667
2008-02-11,2458.333
2008-03-03,2458.333
2008-03-04,2375.0
2008-03-05,2391.667
2008-03-06,2391.667
2008-03-07,2391.667
2008-03-10,2391.667
2008-03-11,2391.667
2008-03-12,2391.667
2008-03-13,2500.0
2008-03-14,2500.0
2008-03-17,2500.0
2008-03-18,2500.0
2008-03-19,2583.333
2008-03-24,2583.333
2008-03-25,2583.333
2008-03-26,2583.333
2008-03-27,2583.333
2008-03-28,2583.333
2008-03-31,2583.333
2008-04-01,2583.333
2008-04-02,2583.333
2008-04-03,2583.333
2008-04-04,2583.333
2008-04-07,2583.333
2008-04-08,2583.333
2008-04-09,2583.333
2008-04-10,2583.333
2008-04-11,2583.333
2008-04-14,2583.333
2008-04-15,2583.333
2008-04-16,2583.333
2008-04-17,2583.333
2008-04-18,2583.333
2008-04-21,2583.333
2008-04-22,2583.333
2008-04-23,2583.333
2008-04-24,2583.333
2008-04-25,2583.333
2008-04-28,2583.333
2008-04-29,2583.333
2008-04-30,2583.333
2008-05-02,2583.333
2008-05-05,2625.0
2008-05-06,2666.667
2008-05-07,2666.667
2008-05-08,2506.667
2008-05-09,2358.333
2008-05-12,2358.333
2008-05-13,2499.167
