"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","12,103.96","12,085.31","12,126.88","12,073.85","","0.15%"
"12/28/2023","12,046.61","12,103.96","12,130.09","12,046.61","","-0.47%"
"12/29/2023","12,092.88","12,046.61","12,136.22","12,045.95","","0.38%"
"01/02/2024","12,141.70","12,092.88","12,179.30","12,092.63","","0.40%"
"01/03/2024","12,230.48","12,141.70","12,230.55","12,129.30","","0.73%"
"01/04/2024","12,280.03","12,230.48","12,280.60","12,218.52","","0.41%"
"01/05/2024","12,368.94","12,280.03","12,380.75","12,260.17","","0.72%"
"01/08/2024","12,382.02","12,368.94","12,400.10","12,345.93","","0.11%"
"01/09/2024","12,437.39","12,382.02","12,437.88","12,339.16","","0.45%"
"01/10/2024","12,480.21","12,437.39","12,480.22","12,405.57","","0.34%"
"01/12/2024","12,501.67","12,480.21","12,513.59","12,474.10","","0.17%"
"01/15/2024","12,452.98","12,501.67","12,531.46","12,445.47","","-0.39%"
"01/16/2024","12,548.37","12,452.98","12,554.70","12,445.62","","0.77%"
"01/17/2024","12,594.94","12,548.37","12,603.95","12,508.23","","0.37%"
"01/18/2024","12,646.67","12,594.94","12,647.88","12,577.97","","0.41%"
"01/19/2024","12,685.03","12,627.32","12,698.75","12,623.51","","0.30%"
"01/22/2024","12,720.69","12,685.03","12,771.90","12,683.25","","0.28%"
"01/23/2024","12,747.30","12,720.69","12,783.75","12,707.14","","0.21%"
"01/24/2024","12,706.90","12,747.30","12,770.70","12,702.89","","-0.32%"
"01/25/2024","12,684.76","12,706.90","12,714.28","12,673.14","","-0.17%"
"01/26/2024","12,630.78","12,684.76","12,715.90","12,619.20","","-0.43%"
"01/29/2024","12,458.14","12,630.78","12,711.33","12,448.97","","-1.37%"
"01/30/2024","12,445.47","12,458.14","12,568.81","12,404.31","","-0.10%"
"01/31/2024","12,465.28","12,445.47","12,498.05","12,438.85","","0.16%"
"02/01/2024","12,483.92","12,465.28","12,513.32","12,445.57","","0.15%"
"02/02/2024","12,493.40","12,483.92","12,535.45","12,455.05","","0.08%"
"02/05/2024","12,442.57","12,493.40","12,521.92","12,420.38","","-0.41%"
"02/06/2024","12,529.24","12,442.57","12,529.24","12,435.28","","0.70%"
"02/07/2024","12,549.83","12,529.24","12,613.63","12,498.36","","0.16%"
"02/08/2024","12,625.89","12,549.83","12,640.08","12,544.84","","0.61%"
