date,MNG
2004-09-08,300.655
2004-09-09,298.728
2004-09-10,301.619
2004-09-13,298.728
2004-09-14,293.91
2004-09-15,293.91
2004-09-16,290.055
2004-09-17,290.922
2004-09-20,291.501
2004-09-21,293.91
2004-09-22,293.91
2004-09-23,282.346
2004-09-24,280.419
2004-09-27,270.782
2004-09-28,262.11
2004-09-29,270.782
2004-09-30,273.673
2004-10-01,277.528
2004-10-04,274.637
2004-10-05,271.746
2004-10-06,274.637
2004-10-07,270.782
2004-10-08,269.819
2004-10-11,269.819
2004-10-12,266.061
2004-10-13,265.097
2004-10-14,260.182
2004-10-15,255.364
2004-10-18,257.291
2004-10-19,265.001
2004-10-20,269.819
2004-10-21,258.255
2004-10-22,245.728
2004-10-25,230.984
2004-10-26,225.491
2004-10-27,212.0
2004-10-28,199.28
2004-10-29,203.328
2004-11-02,228.43
2004-11-03,221.637
2004-11-04,221.637
2004-11-05,228.382
2004-11-08,231.273
2004-11-09,235.128
2004-11-10,231.273
2004-11-11,234.164
2004-11-12,221.637
2004-11-16,216.819
2004-11-17,211.904
2004-11-19,212.0
2004-11-22,199.28
2004-11-23,207.182
2004-11-24,207.182
2004-11-26,202.364
2004-11-29,202.364
2004-11-30,202.364
2004-12-01,207.182
2004-12-02,210.94
2004-12-03,203.328
2004-12-06,211.037
2004-12-07,212.0
2004-12-08,211.037
2004-12-09,212.0
2004-12-10,212.0
2004-12-13,215.855
2004-12-14,221.637
2004-12-15,218.746
2004-12-16,215.855
2004-12-17,219.71
2004-12-20,216.819
2004-12-21,216.819
2004-12-22,216.819
2004-12-23,212.0
2004-12-24,210.844
2004-12-27,207.182
2004-12-28,210.073
2004-12-29,203.328
2004-12-30,203.328
2004-12-31,196.679
2005-01-03,200.437
2005-01-04,198.51
2005-01-05,199.57
2005-01-06,199.57
2005-01-07,206.219
2005-01-10,202.364
2005-01-12,202.364
2005-01-13,200.437
2005-01-14,197.546
2005-01-17,198.51
2005-01-18,210.41
2005-01-19,223.034
2005-01-20,222.6
2005-01-24,221.637
2005-01-25,221.637
2005-01-26,222.6
2005-01-27,221.637
2005-01-28,221.637
2005-01-31,218.842
2005-02-01,218.746
2005-02-02,218.746
2005-02-03,212.0
2005-02-04,211.037
2005-02-07,211.037
2005-02-08,210.073
2005-02-09,202.364
2005-02-11,202.412
2005-02-14,200.437
2005-02-15,199.473
2005-02-16,203.328
2005-02-17,195.619
2005-02-18,196.1
2005-02-21,201.4
2005-02-22,197.546
2005-02-23,193.884
2005-02-24,196.582
2005-02-25,202.268
2005-02-28,197.546
2005-03-01,195.619
2005-03-02,192.824
2005-03-03,197.546
2005-03-04,197.546
2005-03-07,199.473
2005-03-08,195.137
2005-03-09,198.51
2005-03-10,196.582
2005-03-11,192.728
2005-03-14,192.68
2005-03-15,192.728
2005-03-16,181.164
2005-03-21,165.746
2005-03-22,160.928
2005-03-23,154.182
2005-03-24,159.0
2005-03-25,150.328
2005-03-28,154.182
2005-03-29,154.182
2005-03-30,154.182
2005-03-31,154.086
2005-04-01,151.869
2005-04-04,150.328
2005-04-05,156.109
2005-04-06,157.073
2005-04-07,157.073
2005-04-08,154.182
2005-04-11,154.182
2005-04-12,154.182
2005-04-13,154.182
2005-04-14,154.182
2005-04-15,154.182
2005-04-18,156.013
2005-04-19,154.182
2005-04-20,154.182
2005-04-26,154.086
2005-04-27,154.086
2005-04-28,153.989
2005-04-29,151.388
2005-05-02,151.291
2005-05-03,151.291
2005-05-04,152.833
2005-05-05,151.291
2005-05-06,153.122
2005-05-09,151.291
2005-05-10,151.291
2005-05-11,145.028
2005-05-12,144.546
2005-05-13,138.138
2005-05-16,139.728
2005-05-17,143.1
2005-05-18,144.738
2005-05-19,144.498
2005-05-20,140.884
2005-05-23,143.534
2005-05-24,140.691
2005-05-25,142.57
2005-05-26,144.016
2005-05-27,152.64
2005-05-30,157.459
2005-05-31,159.868
2005-06-01,158.037
2005-06-02,156.109
2005-06-03,154.857
2005-06-06,157.073
2005-06-07,156.977
2005-06-08,154.182
2005-06-09,154.182
2005-06-10,156.013
2005-06-13,156.109
2005-06-14,156.109
2005-06-15,155.82
2005-06-16,155.917
2005-06-17,154.182
2005-06-20,151.484
2005-06-21,152.255
2005-06-22,149.46
2005-06-23,148.4
2005-06-24,146.473
2005-06-27,149.364
2005-06-28,151.291
2005-06-29,150.135
2005-06-30,145.509
2005-07-01,145.509
2005-07-04,142.618
2005-07-05,134.138
2005-07-06,134.909
2005-07-07,134.909
2005-07-08,137.318
2005-07-11,137.318
2005-07-12,139.728
2005-07-13,141.558
2005-07-14,141.318
2005-07-15,140.691
2005-07-18,139.824
2005-07-20,138.908
2005-07-21,140.788
2005-07-22,139.728
2005-07-25,139.728
2005-07-26,136.933
2005-07-27,136.837
2005-07-28,138.764
2005-07-29,140.017
2005-08-01,143.389
2005-08-02,141.269
2005-08-03,144.642
2005-08-04,147.919
2005-08-05,151.773
2005-08-08,151.291
2005-08-09,148.882
2005-08-10,149.846
2005-08-11,150.328
2005-08-12,150.328
2005-08-15,150.328
2005-08-16,153.7
2005-08-17,162.903
2005-08-18,172.636
2005-08-22,193.884
2005-08-23,205.496
2005-08-25,212.0
2005-08-26,199.473
2005-08-30,185.982
2005-08-31,187.91
2005-09-01,188.006
2005-09-02,188.006
2005-09-05,199.28
2005-09-06,208.242
2005-09-07,209.11
2005-09-08,207.182
2005-09-09,215.759
2005-09-12,218.746
2005-09-13,214.988
2005-09-14,227.852
2005-09-15,241.488
2005-09-16,247.655
2005-09-19,232.815
2005-09-20,218.89
2005-09-21,207.182
2005-09-22,207.182
2005-09-23,199.666
2005-09-26,211.615
2005-09-27,220.48
2005-09-28,221.637
2005-09-29,219.71
2005-09-30,214.891
2005-10-03,217.782
2005-10-04,218.746
2005-10-05,220.673
2005-10-06,221.637
2005-10-07,234.935
