date,BCI
2005-07-14,579.388
2005-07-15,579.388
2005-07-19,579.388
2005-07-26,577.79
2005-07-27,575.392
2005-07-29,571.396
2005-08-02,571.396
2005-08-04,577.79
2005-08-05,575.392
2005-08-08,575.392
2005-08-09,591.375
2005-08-11,576.191
2005-08-12,591.375
2005-08-15,595.371
2005-08-16,595.371
2005-08-17,596.17
2005-08-18,595.371
2005-08-19,591.375
2005-08-24,591.375
2005-08-25,590.576
2005-08-26,579.388
2005-08-29,591.375
2005-08-30,584.183
2005-08-31,585.781
2005-09-01,591.375
2005-09-02,591.375
2005-09-06,587.38
2005-09-07,575.392
2005-09-08,575.392
2005-09-09,566.601
2005-09-13,576.991
2005-09-14,576.191
2005-09-15,576.991
2005-09-16,571.396
2005-09-19,571.396
2005-09-20,567.401
2005-09-21,567.401
2005-09-22,561.007
2005-09-23,575.392
2005-09-26,575.392
2005-09-29,578.589
2005-09-30,583.384
2005-10-04,583.384
2005-10-06,580.187
2005-10-10,584.982
2005-10-11,589.777
2005-10-12,589.777
2005-10-13,595.371
2005-10-14,591.375
2005-10-18,587.38
2005-10-19,596.17
2005-10-20,596.17
2005-10-21,599.367
2005-10-24,599.367
2005-10-25,599.367
2005-10-26,599.367
2005-10-27,600.166
2005-10-31,600.166
2005-11-02,623.342
2005-11-07,623.342
2005-11-08,623.342
2005-11-11,623.342
2005-11-14,624.141
2005-11-15,631.333
2005-11-21,631.333
2005-11-22,630.534
2005-11-23,619.346
2005-11-24,632.931
2005-11-25,655.308
2005-11-28,655.308
2005-11-29,647.316
2005-11-30,639.325
2005-12-01,631.333
2005-12-02,632.132
2005-12-05,623.342
2005-12-06,625.739
2005-12-07,628.136
2005-12-08,623.342
2005-12-09,623.342
2005-12-12,624.141
2005-12-13,618.547
2005-12-14,618.547
2005-12-15,619.346
2005-12-16,627.337
2005-12-19,627.337
2005-12-20,623.342
2005-12-21,623.342
2005-12-22,623.342
2005-12-23,627.337
2005-12-26,623.342
2005-12-27,624.141
2005-12-28,604.162
2005-12-29,611.354
2005-12-30,611.354
2006-01-03,611.354
2006-01-04,615.35
2006-01-05,624.94
2006-01-06,619.346
