date,SNP
2011-01-06,397.0
2011-01-07,398.0
2011-01-10,394.3
2011-01-12,396.0
2011-01-13,398.95
2011-01-14,394.0
2011-01-17,398.0
2011-01-18,390.3
2011-01-19,394.0
2011-01-20,390.0
2011-01-21,393.0
2011-01-24,390.3
2011-01-25,390.1
2011-01-26,392.0
2011-01-27,390.0
2011-01-28,380.0
2011-01-31,380.0
2011-02-01,384.55
2011-02-02,388.5
2011-02-03,386.6
2011-02-04,388.95
2011-02-07,389.95
2011-02-08,390.0
2011-02-09,387.85
2011-02-10,385.95
2011-02-11,384.0
2011-02-14,380.0
2011-02-15,379.05
2011-02-18,376.05
2011-02-21,365.0
2011-02-22,374.0
2011-02-23,373.0
2011-02-24,380.0
2011-02-25,378.8
2011-02-28,374.1
2011-03-01,382.0
2011-03-02,379.05
2011-03-03,384.0
2011-03-04,385.0
2011-03-07,389.55
2011-03-08,388.95
2011-03-09,389.9
2011-03-10,397.85
2011-03-11,396.8
2011-03-14,396.9
2011-03-15,396.9
2011-03-16,394.9
2011-03-17,395.0
2011-03-18,394.0
2011-03-21,395.0
2011-03-22,396.0
2011-03-23,396.85
2011-03-24,397.0
2011-03-25,397.0
2011-03-28,395.0
2011-03-29,398.9
2011-03-30,394.95
2011-03-31,371.3
2011-04-01,366.0
2011-04-04,375.0
2011-04-05,360.0
2011-04-06,365.0
2011-04-07,365.0
2011-04-08,366.95
2011-04-11,369.0
2011-04-12,368.95
2011-04-13,346.85
2011-04-14,361.0
2011-04-15,368.95
2011-04-18,347.1
2011-04-19,361.0
2011-04-20,359.4
2011-04-21,359.0
2011-04-22,357.45
2011-04-25,347.1
2011-04-26,355.0
2011-04-27,352.65
2011-04-28,345.0
2011-04-29,354.95
2011-05-02,340.0
2011-05-03,350.9
2011-05-04,350.9
2011-05-05,354.8
2011-05-06,339.2
2011-05-09,331.0
2011-05-10,343.85
2011-05-11,336.5
2011-05-12,340.0
2011-05-13,337.0
2011-05-16,341.5
2011-05-17,338.0
2011-05-18,338.0
2011-05-19,339.85
2011-05-20,336.15
2011-05-23,337.0
2011-05-24,339.95
2011-05-25,339.85
2011-05-26,337.2
2011-05-27,340.0
2011-05-30,349.95
2011-05-31,355.0
2011-06-01,356.0
2011-06-02,358.0
2011-06-03,348.0
2011-06-06,355.0
2011-06-07,349.9
2011-06-08,352.8
2011-06-09,353.0
2011-06-10,352.0
2011-06-13,347.5
2011-06-14,350.0
2011-06-15,343.0
2011-06-16,340.0
2011-06-17,343.0
2011-06-20,331.55
2011-06-21,333.0
2011-06-22,326.0
2011-06-23,330.0
2011-06-24,330.0
2011-06-27,326.15
2011-06-28,326.2
2011-06-29,326.15
2011-06-30,326.1
2011-07-01,326.1
2011-07-04,330.0
2011-07-05,332.0
2011-07-06,331.8
2011-07-07,340.0
2011-07-08,341.9
2011-07-11,361.0
2011-07-12,360.1
2011-07-13,347.2
2011-07-14,343.0
2011-07-15,330.0
2011-07-18,340.0
2011-07-19,349.0
2011-07-20,341.0
2011-07-21,341.0
2011-07-22,333.5
2011-07-25,340.0
2011-07-26,327.35
2011-07-27,328.0
2011-07-28,327.65
2011-07-29,328.0
2011-08-01,321.2
2011-08-02,322.0
2011-08-03,322.0
2011-08-04,322.0
2011-08-05,330.0
2011-08-08,324.0
2011-08-09,304.6
2011-08-10,315.0
2011-08-11,318.0
2011-08-12,317.0
2011-08-15,311.1
2011-08-16,310.7
2011-08-17,313.0
2011-08-18,312.6
2011-08-19,320.0
2011-08-22,315.0
2011-08-23,318.0
2011-08-24,324.75
2011-08-25,325.05
2011-08-26,334.95
2011-08-29,340.0
2011-08-30,335.05
2011-09-02,342.95
2011-09-05,351.55
2011-09-06,352.0
2011-09-07,337.0
2011-09-08,337.0
2011-09-09,343.8
2011-09-12,338.0
2011-09-13,338.45
2011-09-14,337.0
2011-09-15,334.9
2011-09-16,327.0
2011-09-19,339.95
2011-09-20,331.0
2011-09-21,327.05
2011-09-22,325.5
2011-09-23,335.0
2011-09-26,335.0
2011-09-27,330.35
2011-09-28,330.0
2011-09-29,322.15
2011-09-30,317.0
2011-10-03,318.0
2011-10-04,322.0
2011-10-05,324.0
2011-10-06,328.0
2011-10-07,324.8
2011-10-10,326.9
2011-10-11,321.15
2011-10-12,330.0
2011-10-13,325.0
2011-10-14,337.75
2011-10-17,325.05
2011-10-18,333.0
2011-10-19,332.8
2011-10-20,333.0
2011-10-21,328.95
2011-10-24,320.05
2011-10-25,324.0
2011-10-26,324.0
2011-10-27,330.0
2011-10-28,333.8
2011-10-31,333.45
2011-11-01,327.0
2011-11-02,326.0
2011-11-03,329.9
2011-11-04,329.0
2011-11-09,329.0
2011-11-10,329.0
2011-11-11,332.5
2011-11-14,332.5
2011-11-15,332.5
2011-11-16,332.0
2011-11-17,331.5
2011-11-21,325.0
2011-11-22,320.2
2011-11-23,328.35
2011-11-24,327.7
2011-11-25,330.0
2011-11-28,330.0
2011-11-29,329.95
2011-11-30,330.0
2011-12-01,318.2
2011-12-02,318.25
2011-12-05,314.1
2011-12-06,314.2
2011-12-07,315.0
2011-12-08,316.7
2011-12-09,316.7
2011-12-12,316.0
2011-12-13,310.0
2011-12-14,320.0
2011-12-15,314.85
2011-12-16,305.0
2011-12-19,316.95
2011-12-20,316.9
2011-12-21,314.0
2011-12-22,311.0
2011-12-23,306.1
2011-12-26,306.1
2011-12-27,305.0
2011-12-28,290.0
2011-12-29,272.6
2011-12-30,282.0
2012-01-02,296.0
2012-01-03,298.0
2012-01-04,300.0
2012-01-05,300.0
2012-01-06,300.05
2012-01-09,295.0
2012-01-10,302.8
2012-01-12,300.0
2012-01-13,299.35
2012-01-16,298.0
2012-01-17,285.05
2012-01-18,293.45
2012-01-19,276.55
2012-01-20,280.0
2012-01-23,287.4
2012-01-24,279.0
2012-01-25,275.0
2012-01-26,279.95
2012-01-27,279.0
2012-01-30,280.0
2012-01-31,278.85
2012-02-01,277.5
2012-02-02,278.0
2012-02-03,276.95
2012-02-07,272.0
2012-02-08,276.0
2012-02-09,274.0
2012-02-10,271.2
2012-02-13,274.7
2012-02-14,275.0
2012-02-15,274.9
2012-02-16,274.9
2012-02-17,267.0
2012-02-20,270.1
2012-02-21,273.95
2012-02-22,268.7
2012-02-23,271.8
2012-02-24,266.2
2012-02-27,266.15
2012-02-28,270.0
2012-02-29,266.0
2012-03-01,266.1
2012-03-02,266.0
2012-03-05,264.15
2012-03-06,265.5
2012-03-07,265.0
2012-03-08,264.0
2012-03-09,267.9
2012-03-12,266.95
2012-03-13,260.35
2012-03-14,262.0
2012-03-15,264.5
2012-03-16,267.45
2012-03-19,262.0
2012-03-20,266.25
2012-03-21,263.45
2012-03-22,251.25
2012-03-23,255.0
2012-03-26,252.1
2012-03-27,254.0
2012-03-28,253.0
2012-03-29,251.0
2012-03-30,248.0
2012-04-02,242.0
2012-04-03,234.0
2012-04-04,230.0
2012-04-05,235.9
2012-04-06,234.0
2012-04-09,220.0
2012-04-10,206.8
2012-04-11,194.4
2012-04-12,185.2
2012-04-13,185.0
2012-04-16,189.5
2012-04-17,198.0
2012-04-18,196.9
2012-04-19,187.0
2012-04-20,198.2
2012-04-23,196.0
2012-04-24,185.55
2012-04-25,185.0
2012-04-26,183.3
2012-04-27,180.1
2012-04-30,182.0
2012-05-02,180.1
2012-05-03,187.75
2012-05-04,181.15
2012-05-07,180.0
2012-05-08,181.0
2012-05-09,185.0
2012-05-10,183.0
2012-05-11,180.25
2012-05-14,181.2
2012-05-15,181.0
2012-05-16,180.0
2012-05-17,180.0
2012-05-18,180.0
2012-05-21,172.0
2012-05-22,182.2
2012-05-23,186.95
2012-05-24,178.05
2012-05-25,184.8
2012-05-28,184.85
2012-05-29,180.0
2012-05-30,180.0
2012-05-31,183.95
2012-06-01,185.0
2012-06-04,183.05
2012-06-05,182.3
2012-06-06,175.05
2012-06-07,180.0
2012-06-08,184.95
2012-06-11,180.0
2012-06-12,180.5
2012-06-13,182.0
2012-06-14,182.2
2012-06-15,182.0
2012-06-18,183.2
2012-06-19,183.0
2012-06-20,183.0
2012-06-21,172.05
2012-06-22,161.75
2012-06-25,157.05
2012-06-26,158.3
2012-06-27,159.05
2012-06-28,163.35
2012-06-29,166.0
2012-07-02,162.15
2012-07-03,164.85
2012-07-04,168.25
2012-07-05,163.1
2012-07-06,162.0
2012-07-09,162.0
2012-07-10,159.0
2012-07-11,161.0
2012-07-12,161.0
2012-07-13,153.0
2012-07-16,153.5
2012-07-17,161.0
2012-07-18,169.4
2012-07-19,169.0
2012-07-20,178.5
2012-07-23,189.2
2012-07-24,200.55
2012-07-25,212.55
2012-07-26,225.0
2012-07-27,238.5
2012-07-31,252.8
2012-08-01,267.95
2012-08-02,284.0
2012-08-03,301.0
2012-08-06,282.95
2012-08-07,266.0
2012-08-08,250.05
2012-08-09,235.05
2012-08-10,220.95
2012-08-13,207.7
2012-08-15,220.15
2012-08-16,233.35
2012-08-17,230.0
2012-08-22,216.2
2012-08-23,203.25
2012-08-24,191.1
2012-08-27,197.0
2012-08-28,190.0
2012-08-29,180.0
2012-08-30,188.45
2012-08-31,199.75
2012-09-03,211.7
2012-09-04,224.4
2012-09-05,237.85
2012-09-06,247.0
2012-09-07,236.9
2012-09-10,222.7
2012-09-11,231.0
2012-09-12,225.0
2012-09-13,233.5
2012-09-14,232.8
2012-09-17,227.95
2012-09-18,219.0
2012-09-19,212.0
2012-09-20,216.9
2012-09-21,206.1
2012-09-24,195.2
2012-09-25,206.9
2012-09-26,217.0
2012-09-27,205.2
2012-09-28,212.4
2012-10-01,208.95
2012-10-02,207.0
2012-10-03,198.9
2012-10-04,188.0
2012-10-05,194.0
2012-10-08,190.0
2012-10-09,190.0
2012-10-10,193.4
2012-10-11,193.4
2012-10-12,190.0
2012-10-15,192.8
2012-10-16,204.35
2012-10-17,216.6
2012-10-18,229.55
2012-10-19,215.8
2012-10-22,219.95
2012-10-23,215.0
2012-10-24,214.95
2012-10-25,208.6
2012-10-29,216.5
2012-10-30,203.55
2012-10-31,209.7
2012-11-01,209.4
2012-11-02,200.7
2012-11-05,204.95
2012-11-07,208.95
2012-11-08,207.9
2012-11-09,207.7
2012-11-12,197.5
2012-11-13,203.0
2012-11-14,200.0
2012-11-15,201.0
2012-11-19,208.9
