date,AFM
2018-08-16,1002.0
2018-08-17,996.0
2018-08-24,1000.0
2018-08-27,1000.0
2018-08-28,997.0
2018-08-29,998.0
2018-08-30,1010.0
2018-08-31,1009.0
2018-09-03,1008.0
2018-09-04,1000.0
2018-09-05,1000.0
2018-09-06,1000.0
2018-09-07,1000.0
2018-09-10,1000.0
2018-09-12,1000.0
2018-09-13,1000.0
2018-09-14,1000.0
2018-09-17,1000.0
2018-09-18,1000.0
2018-09-19,1000.0
2018-09-20,1000.0
2018-09-21,1000.0
2018-09-24,1000.0
2018-09-25,1000.0
2018-09-26,987.0
2018-09-27,1003.0
2018-09-28,1000.0
2018-10-01,1000.0
2018-10-02,1000.0
2018-10-03,1000.0
2018-10-04,1000.0
2018-10-05,1000.0
2018-10-08,1000.0
2018-10-09,1000.0
2018-10-10,1000.0
2018-10-11,1000.0
2018-10-12,1000.0
2018-10-15,998.0
2018-10-16,998.0
2018-10-17,998.0
2018-10-18,998.0
2018-10-19,998.0
2018-10-22,998.0
2018-10-23,998.0
2018-10-24,998.0
2018-10-25,998.0
2018-10-26,990.0
2018-10-29,997.0
2018-10-30,990.0
2018-10-31,995.0
2018-11-01,983.0
2018-11-02,990.0
2018-11-05,980.0
2018-11-07,978.0
2018-11-08,985.0
2018-11-09,1083.0
2018-11-12,1037.0
2018-11-13,1010.0
2018-11-14,1000.0
2018-11-15,1000.0
2018-11-16,995.0
2018-11-19,997.0
2018-11-22,997.0
2018-11-23,997.0
2018-11-26,997.0
2018-11-27,997.0
2018-11-28,997.0
2018-11-29,997.0
2018-11-30,997.0
2018-12-03,997.0
2018-12-04,986.0
2018-12-05,986.0
2018-12-06,990.0
2018-12-07,992.0
2018-12-10,992.0
2018-12-11,992.0
2018-12-12,992.0
2018-12-13,990.0
2018-12-14,980.0
2018-12-17,990.0
2018-12-18,990.0
2018-12-19,984.0
2018-12-20,990.0
2018-12-21,980.0
2018-12-24,982.0
2018-12-25,990.0
2018-12-26,990.0
2018-12-27,990.0
2018-12-28,980.0
2018-12-31,990.0
2019-01-02,990.0
2019-01-03,990.0
2019-01-04,980.0
2019-01-07,980.0
2019-01-08,980.0
2019-01-09,980.0
2019-01-10,980.0
2019-01-14,980.0
2019-01-15,980.0
2019-01-16,980.0
2019-01-17,980.0
2019-01-18,883.0
2019-01-21,960.0
2019-01-22,895.0
2019-01-23,900.0
2019-01-24,942.5
2019-01-25,950.0
2019-01-28,957.0
2019-01-29,957.0
2019-01-30,943.0
2019-01-31,957.0
2019-02-01,942.0
2019-02-04,952.0
2019-02-05,979.0
2019-02-06,990.0
2019-02-07,990.0
2019-02-08,1020.0
2019-02-11,1030.0
2019-02-12,1030.0
2019-02-13,1030.0
2019-02-14,1030.0
2019-02-15,1030.0
2019-02-18,1030.0
2019-02-19,1030.0
2019-02-20,1030.0
2019-02-21,1030.0
2019-02-22,1040.0
2019-02-25,1030.0
2019-02-26,1035.0
2019-02-27,1035.0
2019-02-28,1030.0
2019-03-01,1030.0
2019-03-04,1030.0
2019-03-05,1030.0
2019-03-06,1030.0
2019-03-07,1025.0
2019-03-08,1025.0
2019-03-11,1025.0
2019-03-12,1006.0
2019-03-13,1001.0
2019-03-14,991.0
2019-03-15,1030.0
2019-03-18,1030.0
2019-03-19,1030.0
2019-03-20,1030.0
2019-03-21,1030.0
2019-03-22,1030.0
2019-03-25,1029.0
2019-03-26,1030.0
2019-03-27,1024.0
2019-03-28,1019.0
2019-03-29,1019.0
2019-04-01,1019.0
2019-04-02,1015.0
2019-04-03,1017.0
2019-04-04,1017.0
2019-04-05,1019.0
2019-04-08,1020.0
2019-04-09,1020.0
2019-04-10,1019.0
2019-04-11,1019.0
2019-04-12,1000.0
2019-04-15,1005.0
2019-04-16,990.0
2019-04-17,1001.0
2019-04-18,988.0
2019-04-19,1000.0
2019-04-22,1000.0
2019-04-23,1004.0
2019-04-24,1003.0
2019-04-25,988.0
2019-04-26,994.0
2019-04-29,999.0
2019-04-30,995.0
2019-05-02,998.0
2019-05-03,995.0
2019-05-06,995.0
2019-05-07,995.0
2019-05-08,995.0
2019-05-09,995.0
2019-05-10,995.0
2019-05-13,995.0
2019-05-14,995.0
2019-05-15,990.0
2019-05-16,994.0
2019-05-17,995.0
2019-05-20,1014.0
2019-05-21,1010.0
2019-05-22,1010.0
2019-05-23,1010.0
2019-05-24,1000.0
