date,CMA
2003-05-28,475.0
2003-05-30,465.5
2003-06-02,465.5
2003-06-04,475.0
2003-06-06,480.0
2003-06-09,485.0
2003-06-10,487.5
2003-06-11,489.5
2003-06-12,487.5
2003-06-19,491.0
2003-06-20,491.0
2003-06-23,492.0
2003-06-24,489.0
2003-06-25,491.5
2003-06-26,492.0
2003-06-27,489.0
2003-06-30,493.5
2003-07-03,485.0
2003-07-08,485.0
2003-07-09,487.5
2003-07-10,487.5
2003-07-11,488.0
2003-07-14,488.0
2003-07-15,490.0
2003-07-17,498.0
2003-07-18,500.0
2003-07-23,500.0
2003-07-24,499.5
2003-07-25,500.0
2003-07-29,520.0
2003-07-31,520.0
2003-08-01,510.0
2003-08-04,500.0
2003-08-05,505.0
2003-08-06,505.0
2003-08-08,505.0
2003-08-12,502.5
2003-08-13,505.5
2003-08-15,505.5
2003-08-18,504.5
2003-08-19,505.0
2003-08-25,512.0
2003-08-28,527.5
2003-09-01,531.0
2003-09-04,554.0
2003-09-05,550.0
2003-09-08,545.0
2003-09-09,547.5
2003-09-10,545.5
2003-09-11,546.0
2003-09-12,550.5
2003-09-15,550.0
2003-09-16,542.5
2003-09-18,560.0
2003-09-19,560.0
2003-09-22,560.0
2003-09-23,557.5
2003-09-24,560.0
2003-09-26,575.0
2003-09-29,576.0
2003-09-30,576.0
2003-10-01,576.0
2003-10-02,575.0
2003-10-03,576.0
2003-10-06,576.0
2003-10-07,580.5
2003-10-08,585.0
2003-10-09,585.0
2003-10-10,585.0
2003-10-14,599.0
2003-10-15,600.0
2003-10-17,598.0
2003-10-20,597.0
2003-10-21,592.5
2003-10-23,596.0
2003-10-24,598.0
2003-10-27,598.0
2003-10-29,595.0
2003-10-31,592.5
2003-11-03,592.5
2003-11-04,598.0
2003-11-05,598.0
2003-11-10,598.0
2003-11-11,598.0
2003-11-12,598.0
2003-11-13,582.5
2003-11-14,582.5
2003-11-17,582.5
2003-11-19,570.5
2003-11-25,570.0
2003-11-28,563.5
2003-12-01,575.0
2003-12-02,567.5
2003-12-03,567.5
2003-12-04,567.5
2003-12-05,567.5
2003-12-10,567.5
2003-12-11,567.0
2003-12-12,567.5
2003-12-15,567.5
2003-12-16,567.5
2003-12-17,565.5
2003-12-18,565.0
2003-12-19,565.0
2003-12-23,565.0
2003-12-24,561.0
2003-12-25,565.0
2003-12-29,565.0
2003-12-30,550.0
2003-12-31,550.0
2004-01-02,550.0
2004-01-06,547.5
2004-01-07,547.5
2004-01-09,547.5
2004-01-13,549.5
2004-01-14,550.5
2004-01-15,553.5
2004-01-19,575.5
2004-01-20,580.0
2004-01-23,602.5
2004-01-26,619.5
2004-01-27,605.0
2004-01-28,616.0
2004-01-29,627.0
2004-01-30,650.0
2004-02-03,650.5
2004-02-04,652.5
2004-02-05,652.5
2004-02-06,674.5
2004-02-09,705.5
2004-02-10,702.5
2004-02-11,700.0
2004-02-12,699.0
2004-02-13,697.5
2004-02-16,692.5
2004-02-17,675.0
2004-02-18,675.0
2004-02-19,665.0
2004-02-20,650.0
2004-02-23,650.0
2004-02-24,659.5
2004-02-25,665.5
2004-02-26,677.5
2004-02-27,672.5
2004-03-01,675.0
2004-03-02,680.0
2004-03-03,680.5
2004-03-04,685.0
2004-03-08,695.0
2004-03-09,687.5
2004-03-10,691.5
2004-03-11,692.5
2004-03-12,691.0
2004-03-15,691.0
2004-03-16,691.0
2004-03-17,689.5
2004-03-18,689.5
2004-03-19,694.0
2004-03-22,694.5
2004-03-23,694.5
2004-03-24,693.0
2004-03-25,690.0
2004-03-26,682.5
2004-03-31,682.5
2004-04-01,682.0
2004-04-02,683.0
2004-04-05,682.5
2004-04-06,675.0
2004-04-08,677.5
2004-04-09,682.5
2004-04-12,690.0
2004-04-13,698.0
2004-04-14,703.0
2004-04-16,712.5
2004-04-19,720.5
2004-04-21,720.0
2004-04-22,720.0
2004-04-23,720.0
2004-04-26,719.5
2004-04-27,722.5
2004-04-28,722.5
2004-04-29,725.0
2004-04-30,728.0
2004-05-04,728.5
2004-05-05,727.5
2004-05-06,727.5
2004-05-07,725.5
2004-05-10,730.0
2004-05-11,717.5
2004-05-12,715.0
2004-05-13,700.5
2004-05-14,725.0
2004-05-17,690.0
2004-05-18,689.5
2004-05-19,690.0
2004-05-20,700.0
2004-05-21,715.5
2004-05-24,715.0
2004-05-26,715.0
2004-05-27,715.0
2004-05-28,715.0
2004-05-31,724.0
2004-06-01,713.0
2004-06-02,713.0
2004-06-04,715.0
2004-06-07,718.5
2004-06-08,725.0
2004-06-10,728.5
2004-06-11,727.0
2004-06-15,727.5
2004-06-18,730.0
2004-06-22,730.0
2004-06-24,730.0
2004-06-25,730.0
2004-06-28,730.0
2004-06-29,730.0
2004-07-01,730.5
2004-07-02,730.5
2004-07-05,731.0
2004-07-06,726.0
2004-07-07,730.0
2004-07-09,726.0
2004-07-12,726.5
2004-07-15,728.5
2004-07-20,735.0
2004-07-27,750.0
2004-07-28,750.0
2004-07-30,749.5
2004-08-03,752.5
2004-08-05,755.0
2004-08-11,762.5
2004-08-13,762.5
2004-08-17,777.5
2004-08-18,800.0
2004-08-19,800.0
2004-08-23,800.0
2004-08-25,800.0
2004-08-26,800.0
2004-09-01,805.0
2004-09-02,806.0
2004-09-03,806.0
2004-09-07,807.5
2004-09-08,813.5
2004-09-09,813.5
2004-09-10,814.0
2004-09-13,801.0
2004-09-14,799.0
2004-09-15,798.0
2004-09-16,795.0
2004-09-17,787.5
2004-09-21,787.5
