date,LHM
2002-10-16,304.364
2002-10-17,305.455
2002-10-23,304.091
2002-10-24,304.091
2002-10-25,304.091
2002-10-28,304.091
2002-10-30,304.091
2002-10-31,304.091
2002-11-01,304.909
2002-11-05,304.364
2002-11-07,304.364
2002-11-08,304.909
2002-11-11,305.455
2002-11-12,305.455
2002-11-14,305.455
2002-11-15,306.0
2002-11-19,306.0
2002-11-20,308.182
2002-11-21,308.727
2002-11-22,310.636
2002-12-02,309.545
2002-12-03,313.636
2002-12-05,313.636
2002-12-09,313.636
2002-12-11,313.909
2002-12-13,316.364
2002-12-16,316.364
2002-12-18,316.909
2002-12-19,319.091
2002-12-20,321.818
2002-12-24,324.273
2002-12-26,312.273
2002-12-27,310.909
2002-12-30,315.545
2002-12-31,310.909
2003-01-03,312.545
2003-01-06,313.636
2003-01-07,315.0
2003-01-08,315.273
2003-01-09,315.545
2003-01-10,316.091
2003-01-13,316.364
2003-01-14,316.364
2003-01-16,319.091
2003-01-17,319.091
2003-01-20,321.273
2003-01-21,319.364
2003-01-22,320.455
2003-01-23,321.0
2003-01-24,319.636
2003-01-27,321.545
2003-01-28,321.818
2003-02-03,322.091
2003-02-04,324.273
2003-02-06,325.091
2003-02-07,326.182
2003-02-10,327.0
2003-02-11,330.0
2003-02-14,327.818
2003-02-18,330.818
2003-02-19,350.455
2003-02-20,338.455
2003-02-21,350.182
2003-02-25,345.273
2003-02-26,346.909
2003-02-27,347.727
2003-02-28,348.545
2003-03-03,349.091
2003-03-06,346.364
2003-03-10,347.727
2003-03-11,347.727
2003-03-12,347.727
2003-03-13,347.727
2003-03-14,347.727
2003-03-17,348.0
2003-03-18,348.545
2003-03-19,362.455
2003-03-20,362.727
2003-03-21,349.091
2003-03-28,350.455
2003-03-31,362.727
2003-04-01,362.455
2003-04-02,361.364
2003-04-03,362.455
2003-04-04,364.091
2003-04-10,365.455
2003-04-11,366.818
2003-04-15,370.636
2003-04-16,370.909
2003-04-18,378.0
2003-04-21,388.636
2003-04-22,388.636
2003-04-23,392.727
2003-04-24,393.818
2003-04-25,394.091
2003-04-28,395.455
2003-04-29,412.091
2003-04-30,390.0
2003-05-02,390.0
2003-05-05,387.273
2003-05-06,402.273
2003-05-07,402.273
2003-05-08,402.273
2003-05-12,404.727
2003-05-13,409.091
2003-05-16,402.273
2003-05-19,410.182
2003-05-20,410.182
2003-05-21,410.182
2003-05-22,420.0
2003-05-23,410.727
2003-05-27,396.818
2003-05-29,399.818
2003-05-30,411.818
2003-06-02,421.364
2003-06-03,423.0
2003-06-04,436.636
2003-06-05,450.0
2003-06-06,463.636
2003-06-09,464.182
2003-06-10,464.182
2003-06-11,465.0
2003-06-12,465.0
2003-06-13,465.545
2003-06-16,465.545
2003-06-17,465.545
2003-06-18,469.091
2003-06-19,477.273
2003-06-20,477.273
2003-06-23,480.273
2003-06-24,478.909
2003-06-25,481.364
2003-06-26,481.364
2003-06-27,478.909
2003-06-30,479.182
2003-07-01,479.182
2003-07-02,479.182
2003-07-03,479.182
2003-07-04,479.455
2003-07-07,477.273
2003-07-08,480.0
2003-07-09,473.455
2003-07-10,476.727
2003-07-11,476.455
2003-07-14,476.455
2003-07-16,476.455
2003-07-17,474.273
2003-07-18,474.545
2003-07-21,473.182
2003-07-22,472.091
2003-07-25,477.273
2003-07-29,473.182
2003-07-31,473.727
2003-08-04,474.545
2003-08-06,477.273
2003-08-07,477.273
2003-08-08,480.0
2003-08-11,480.0
2003-08-15,480.0
2003-08-18,481.364
2003-08-19,509.727
2003-08-22,488.182
2003-08-25,489.818
2003-08-26,493.636
2003-08-28,508.636
2003-08-29,508.636
2003-09-01,508.636
2003-09-02,508.636
2003-09-03,510.0
2003-09-04,510.0
2003-09-05,514.091
2003-09-08,512.727
2003-09-10,518.182
2003-09-12,510.273
2003-09-15,518.182
2003-09-16,518.182
2003-09-18,518.182
2003-09-23,510.0
2003-09-24,510.0
2003-09-25,510.0
2003-09-26,517.636
2003-09-29,517.909
2003-09-30,511.636
2003-10-01,512.727
2003-10-03,512.727
2003-10-06,512.727
2003-10-07,512.727
2003-10-08,514.091
2003-10-10,512.727
2003-10-13,515.454
2003-10-14,518.182
2003-10-15,518.182
2003-10-16,523.636
2003-10-17,518.182
2003-10-20,518.182
2003-10-21,515.727
2003-10-22,518.182
2003-10-24,518.454
2003-10-30,520.091
2003-10-31,520.091
2003-11-04,531.818
2003-11-05,531.818
2003-11-07,531.818
2003-11-10,531.818
2003-11-11,530.454
2003-11-12,531.818
2003-11-13,534.545
2003-11-14,540.0
2003-11-17,540.0
2003-11-19,540.0
2003-11-20,540.0
2003-11-21,545.454
2003-11-24,545.454
2003-11-25,545.454
2003-11-28,545.454
2003-12-01,545.454
2003-12-02,545.454
2003-12-03,545.454
2003-12-04,545.454
2003-12-05,545.454
2003-12-08,545.454
2003-12-09,545.454
2003-12-11,550.909
2003-12-12,552.273
2003-12-16,552.273
2003-12-17,552.273
2003-12-18,552.273
2003-12-19,551.182
2003-12-24,545.454
2003-12-25,545.454
2003-12-26,545.454
2003-12-29,545.454
2003-12-30,545.182
2003-12-31,542.454
2004-01-02,540.0
2004-01-06,545.454
2004-01-08,544.091
2004-01-09,545.182
2004-01-12,544.091
2004-01-13,548.182
2004-01-14,548.182
2004-01-15,548.182
2004-01-16,548.182
2004-01-19,548.182
2004-01-22,583.909
2004-01-23,583.909
2004-01-26,594.545
2004-01-27,594.545
2004-01-28,594.818
2004-01-29,595.091
2004-01-30,601.364
2004-02-03,613.636
2004-02-05,614.454
2004-02-06,616.909
2004-02-09,651.273
2004-02-10,651.273
2004-02-11,651.273
2004-02-12,651.545
2004-02-13,650.454
2004-02-16,650.454
2004-02-17,648.818
2004-02-18,627.273
2004-02-19,627.273
2004-02-20,627.273
2004-02-23,627.545
2004-02-24,649.091
2004-02-25,648.818
2004-02-26,650.182
2004-02-27,651.818
2004-03-01,634.364
2004-03-02,634.364
2004-03-03,648.273
2004-03-04,651.818
2004-03-05,640.909
2004-03-08,651.273
2004-03-09,651.273
2004-03-10,651.273
2004-03-11,651.273
2004-03-12,651.818
2004-03-15,653.182
2004-03-16,654.0
2004-03-18,650.454
2004-03-22,650.182
2004-03-23,642.273
2004-03-24,615.0
2004-03-26,640.909
2004-03-29,650.454
2004-03-30,646.091
2004-03-31,646.091
2004-04-01,646.636
2004-04-02,653.182
2004-04-05,655.909
2004-04-08,655.909
2004-04-09,654.545
2004-04-12,654.545
2004-04-13,654.545
2004-04-16,654.818
2004-04-19,655.364
2004-04-20,662.727
2004-04-21,662.727
2004-04-22,662.727
2004-04-23,655.364
2004-04-26,655.091
2004-04-29,681.818
2004-04-30,681.818
2004-05-04,681.273
2004-05-05,681.273
2004-05-06,679.091
2004-05-07,678.0
2004-05-10,676.364
2004-05-11,674.454
2004-05-12,668.454
2004-05-13,662.727
2004-05-14,680.454
2004-05-17,654.545
2004-05-18,640.909
2004-05-19,643.636
2004-05-20,654.545
2004-05-21,657.273
2004-05-24,661.364
2004-05-25,661.636
2004-05-27,668.454
2004-05-28,679.091
2004-06-01,662.727
2004-06-02,663.0
2004-06-03,681.818
2004-06-04,681.818
2004-06-07,681.545
2004-06-08,681.818
2004-06-09,668.454
2004-06-11,682.364
2004-06-15,692.727
2004-06-17,700.909
2004-06-18,695.454
2004-06-21,695.454
2004-06-22,695.454
2004-06-24,695.727
2004-06-25,695.727
2004-06-28,695.727
2004-06-29,695.454
2004-06-30,695.454
2004-07-01,696.0
2004-07-02,696.0
2004-07-05,696.0
2004-07-06,697.091
2004-07-07,697.091
2004-07-08,697.364
2004-07-09,697.364
2004-07-12,697.636
2004-07-13,706.364
2004-07-14,705.545
2004-07-15,705.273
2004-07-16,699.818
2004-07-20,700.909
2004-07-22,703.636
2004-07-23,710.454
2004-07-26,709.364
2004-07-28,715.909
2004-07-30,722.727
2004-08-02,724.364
2004-08-03,724.364
2004-08-04,725.454
2004-08-05,728.182
2004-08-06,728.454
2004-08-09,728.454
2004-08-10,736.364
2004-08-11,749.727
2004-08-12,751.364
2004-08-13,750.0
2004-08-16,750.0
2004-08-17,744.545
2004-08-18,750.0
2004-08-24,745.909
2004-08-25,750.0
2004-08-26,750.0
2004-08-27,750.273
2004-08-31,747.273
2004-09-01,752.727
2004-09-03,755.727
2004-09-07,750.0
2004-09-08,750.0
2004-09-09,750.0
2004-09-10,750.0
2004-09-14,739.091
2004-09-15,728.182
2004-09-16,728.182
2004-09-17,729.545
2004-09-20,726.818
2004-09-21,728.182
2004-09-22,728.182
2004-09-23,722.727
2004-09-24,709.091
2004-09-27,694.091
2004-09-28,687.0
2004-09-29,694.091
2004-09-30,695.454
2004-10-01,695.454
2004-10-05,698.182
2004-10-06,694.091
2004-10-07,695.454
2004-10-08,694.091
2004-10-12,688.636
2004-10-13,654.273
2004-10-14,623.182
2004-10-15,623.182
2004-10-18,623.182
2004-10-19,617.727
2004-10-20,607.091
2004-10-21,594.545
2004-10-22,572.727
2004-10-25,557.727
2004-10-26,552.273
2004-10-27,545.454
2004-10-28,544.091
2004-10-29,544.091
2004-11-01,576.545
2004-11-03,600.0
2004-11-04,600.0
2004-11-05,601.364
2004-11-09,613.636
2004-11-10,616.364
2004-11-11,616.364
2004-11-16,616.364
2004-11-17,616.364
2004-11-19,613.364
2004-11-22,586.364
2004-11-23,589.091
2004-11-24,600.0
2004-11-26,607.909
2004-11-30,600.0
2004-12-03,594.545
2004-12-06,600.0
2004-12-08,635.454
2004-12-09,651.273
2004-12-10,660.0
2004-12-13,681.0
2004-12-14,679.091
2004-12-16,613.636
2004-12-17,619.091
2004-12-20,614.182
2004-12-21,616.364
2004-12-22,613.636
2004-12-23,616.364
2004-12-24,616.364
2004-12-27,637.636
2004-12-28,637.909
2004-12-29,636.818
2004-12-30,630.0
2004-12-31,640.909
2005-01-03,640.909
2005-01-05,640.909
2005-01-07,625.909
2005-01-13,623.182
2005-01-14,623.182
2005-01-17,612.273
2005-01-18,613.636
2005-01-19,613.636
2005-01-20,613.636
2005-01-24,613.636
2005-01-25,613.636
2005-01-26,613.636
2005-01-28,613.636
2005-01-31,613.636
2005-02-02,613.636
2005-02-03,613.636
2005-02-04,613.636
2005-02-11,610.909
2005-02-16,610.909
2005-02-17,609.545
2005-02-21,605.454
2005-02-22,586.364
2005-02-23,572.454
2005-02-24,545.454
2005-02-25,567.273
2005-02-28,559.091
2005-03-01,559.091
2005-03-02,545.454
2005-03-03,545.454
2005-03-07,548.182
2005-03-08,546.0
2005-03-09,548.182
2005-03-10,546.273
2005-03-11,548.182
2005-03-14,546.545
2005-03-15,546.818
2005-03-16,556.909
2005-03-17,572.727
2005-03-18,586.091
2005-03-21,582.545
2005-03-24,600.0
2005-03-25,589.091
2005-03-28,572.727
2005-03-30,572.727
2005-04-01,572.727
2005-04-04,559.091
2005-04-05,559.091
2005-04-06,559.091
2005-04-07,572.727
2005-04-11,572.727
2005-04-12,573.0
2005-04-13,573.273
2005-04-14,575.454
2005-04-15,578.454
2005-04-18,578.454
2005-04-19,582.545
2005-04-20,583.636
2005-04-25,585.273
2005-04-26,586.909
2005-04-27,584.182
2005-04-28,586.364
2005-04-29,600.0
2005-05-02,600.0
2005-05-03,605.454
2005-05-04,620.454
2005-05-05,644.182
2005-05-06,642.545
2005-05-09,645.0
2005-05-10,644.727
2005-05-11,644.454
2005-05-12,643.636
2005-05-13,654.545
2005-05-17,654.545
2005-05-18,654.545
2005-05-19,670.909
2005-05-20,666.818
2005-05-23,653.182
2005-05-24,657.273
2005-05-25,670.364
2005-05-26,676.364
2005-05-27,681.818
2005-05-31,688.636
2005-06-01,688.636
2005-06-03,655.364
2005-06-07,660.0
2005-06-08,660.0
2005-06-09,668.182
2005-06-13,668.182
2005-06-14,668.182
2005-06-15,657.273
2005-06-16,668.182
2005-06-17,665.727
2005-06-20,657.545
2005-06-21,657.273
2005-06-22,657.273
2005-06-27,668.182
2005-06-28,668.182
2005-06-29,668.182
2005-06-30,675.0
2005-07-01,668.182
2005-07-05,668.182
2005-07-06,668.182
2005-07-12,668.182
2005-07-13,668.182
2005-07-18,681.818
2005-07-25,681.818
2005-07-26,681.818
2005-07-27,681.818
2005-08-01,683.182
2005-08-02,681.818
2005-08-03,695.454
2005-08-04,695.454
2005-08-05,683.182
2005-08-08,688.636
2005-08-09,690.0
2005-08-10,695.454
2005-08-11,709.091
2005-08-15,709.091
2005-08-16,709.091
2005-08-17,730.909
2005-08-18,730.909
2005-08-22,722.727
2005-08-23,722.727
2005-08-25,709.091
2005-08-26,695.454
2005-08-29,695.454
2005-08-31,695.454
2005-09-01,709.091
2005-09-02,722.727
2005-09-05,703.636
2005-09-06,695.454
2005-09-07,668.182
2005-09-08,681.818
2005-09-09,662.727
2005-09-12,668.182
2005-09-13,679.091
2005-09-15,677.727
2005-09-16,676.364
2005-09-20,668.182
2005-09-21,668.182
2005-09-22,668.727
2005-09-23,681.818
2005-09-27,654.545
2005-09-28,651.818
2005-09-29,651.818
2005-09-30,651.818
2005-10-04,654.818
2005-10-05,654.545
2005-10-06,655.364
2005-10-07,655.909
2005-10-11,659.727
2005-10-12,668.182
2005-10-13,681.818
2005-10-14,692.727
2005-10-17,694.091
2005-10-18,692.727
2005-10-19,692.727
2005-10-20,692.727
2005-10-21,692.727
2005-10-25,692.727
2005-10-27,706.364
2005-10-28,709.091
2005-10-31,709.091
2005-11-01,698.454
2005-11-02,709.091
2005-11-03,708.545
2005-11-07,709.091
2005-11-08,705.0
2005-11-09,702.273
2005-11-14,703.636
2005-11-15,703.636
2005-11-21,700.909
2005-11-22,703.636
2005-11-23,702.273
2005-11-24,702.273
2005-11-25,709.091
2005-11-28,717.273
2005-11-30,717.273
2005-12-01,707.182
2005-12-02,709.091
2005-12-06,698.182
2005-12-07,707.727
2005-12-08,694.091
2005-12-09,706.364
2005-12-12,705.545
2005-12-13,690.0
2005-12-14,703.636
2005-12-16,722.727
2005-12-19,722.454
2005-12-20,722.727
2005-12-21,722.727
2005-12-22,722.727
2005-12-27,727.636
2005-12-28,725.454
2005-12-29,725.454
2005-12-30,725.454
2006-01-03,725.454
2006-01-04,726.818
2006-01-05,744.545
2006-01-06,744.545
2006-01-09,750.0
2006-01-10,777.273
2006-01-13,785.454
2006-01-16,818.182
2006-01-17,769.091
2006-01-18,801.818
2006-01-20,801.818
2006-01-23,818.182
2006-01-24,845.454
2006-01-25,859.364
2006-01-26,873.0
2006-01-27,894.545
2006-01-30,948.0
2006-02-01,948.545
2006-02-02,921.818
2006-02-03,880.909
2006-02-06,900.0
2006-02-07,935.454
2006-02-08,935.454
2006-02-09,932.727
2006-02-10,954.545
2006-02-13,948.818
2006-02-14,927.273
2006-02-15,927.545
2006-02-16,927.545
2006-02-17,927.273
2006-02-20,949.091
2006-02-21,955.909
2006-02-22,954.545
2006-02-23,965.454
2006-02-24,932.727
2006-02-27,932.727
2006-02-28,913.636
2006-03-01,930.0
2006-03-02,908.182
2006-03-03,927.273
2006-03-06,914.182
2006-03-07,917.727
2006-03-08,927.273
2006-03-10,938.182
2006-03-13,913.636
2006-03-15,908.182
2006-03-20,915.0
2006-03-21,927.273
2006-03-22,915.0
2006-03-23,940.909
2006-03-24,954.545
2006-03-28,987.273
2006-03-29,981.818
2006-03-30,979.091
2006-03-31,987.273
2006-04-04,995.727
2006-04-05,1036.364
2006-04-06,1036.364
2006-04-07,1041.818
2006-04-10,1051.636
