date,SAM
2003-12-26,336.0
2003-12-29,344.0
2003-12-30,336.0
2003-12-31,321.0
2004-01-02,340.0
2004-01-06,334.0
2004-01-07,331.0
2004-01-08,330.0
2004-01-09,329.0
2004-01-12,323.8
2004-01-13,310.0
2004-01-14,306.0
2004-01-15,313.0
2004-01-16,318.9
2004-01-19,314.0
2004-01-20,305.0
2004-01-22,309.0
2004-01-23,307.0
2004-01-26,300.0
2004-01-27,292.0
2004-01-28,295.0
2004-01-29,295.0
2004-01-30,292.0
2004-02-03,291.0
2004-02-04,291.0
2004-02-05,285.0
2004-02-06,289.0
2004-02-09,286.0
2004-02-10,285.0
2004-02-11,290.0
2004-02-12,295.0
2004-02-13,300.0
2004-02-16,307.1
2004-02-17,310.0
2004-02-18,306.0
2004-02-19,308.0
2004-02-20,306.0
2004-02-23,315.0
2004-02-24,319.0
2004-02-25,315.0
2004-02-26,310.0
2004-02-27,300.9
2004-03-01,300.1
2004-03-02,305.0
2004-03-03,305.0
2004-03-04,310.0
2004-03-05,309.0
2004-03-08,315.0
2004-03-09,319.9
2004-03-10,313.9
2004-03-11,310.0
2004-03-12,310.0
2004-03-15,315.0
2004-03-16,310.0
2004-03-17,305.0
2004-03-18,311.0
2004-03-19,308.8
2004-03-22,295.0
2004-03-23,290.0
2004-03-24,295.0
2004-03-25,293.0
2004-03-26,299.9
2004-03-29,300.0
2004-03-30,300.0
2004-03-31,295.0
2004-04-01,295.0
2004-04-02,294.0
2004-04-05,293.1
2004-04-06,290.0
2004-04-08,294.0
2004-04-09,290.2
2004-04-12,293.0
2004-04-13,292.1
2004-04-14,292.1
2004-04-15,293.0
2004-04-16,295.0
2004-04-19,295.0
2004-04-20,293.7
2004-04-21,294.0
2004-04-22,295.0
2004-04-23,295.0
2004-04-26,294.0
2004-04-27,294.0
2004-04-28,294.0
2004-04-29,298.0
2004-04-30,295.0
2004-05-04,305.0
2004-05-05,312.0
2004-05-06,315.0
2004-05-07,315.2
2004-05-10,318.0
2004-05-11,306.1
2004-05-12,310.0
2004-05-13,306.5
2004-05-14,315.0
2004-05-17,315.2
2004-05-18,325.0
2004-05-19,331.5
2004-05-20,335.0
2004-05-21,331.0
2004-05-24,329.8
2004-05-25,334.0
2004-05-26,340.0
2004-05-27,340.0
2004-05-28,337.0
2004-05-31,338.0
2004-06-01,340.0
2004-06-02,339.9
2004-06-03,337.0
2004-06-04,347.1
2004-06-07,359.0
2004-06-08,360.0
2004-06-09,355.0
2004-06-10,360.0
2004-06-11,370.0
2004-06-14,367.0
2004-06-15,360.0
2004-06-16,357.0
2004-06-17,360.0
2004-06-18,355.0
2004-06-21,354.0
2004-06-22,324.0
2004-06-23,320.0
2004-06-24,321.0
2004-06-25,320.1
2004-06-28,322.0
2004-06-29,320.5
2004-06-30,320.6
2004-07-01,317.5
2004-07-02,318.2
2004-07-05,316.0
2004-07-06,312.0
2004-07-07,315.0
2004-07-08,320.0
2004-07-09,320.0
2004-07-12,320.0
2004-07-13,323.0
2004-07-14,324.0
2004-07-15,324.0
2004-07-16,325.0
2004-07-19,327.0
2004-07-20,328.0
2004-07-21,328.0
2004-07-22,328.0
2004-07-23,315.0
2004-07-26,317.5
2004-07-27,321.15
2004-07-28,320.0
2004-07-30,319.0
2004-08-02,317.5
2004-08-03,317.0
2004-08-04,315.0
2004-08-05,315.5
2004-08-06,313.5
2004-08-09,316.0
2004-08-10,316.5
2004-08-11,312.0
2004-08-12,315.0
2004-08-13,313.0
2004-08-16,325.0
2004-08-17,324.5
2004-08-18,317.2
2004-08-19,315.0
2004-08-23,315.0
2004-08-24,315.0
2004-08-25,319.0
2004-08-26,319.0
2004-08-27,325.0
2004-08-30,325.0
2004-08-31,326.0
2004-09-01,333.0
2004-09-02,337.5
2004-09-03,338.05
2004-09-06,333.5
2004-09-07,340.0
2004-09-08,343.0
2004-09-09,350.0
2004-09-10,359.0
2004-09-13,347.5
2004-09-14,353.0
2004-09-15,356.4
2004-09-16,348.0
2004-09-17,350.0
2004-09-20,350.0
2004-09-21,354.0
2004-09-22,350.1
2004-09-23,346.0
2004-09-24,342.0
2004-09-27,350.0
2004-09-28,352.0
2004-09-29,350.0
2004-09-30,350.0
2004-10-01,347.0
2004-10-04,338.0
2004-10-05,336.5
2004-10-06,340.0
2004-10-07,340.0
2004-10-08,345.0
2004-10-11,343.0
2004-10-12,335.0
2004-10-13,318.0
2004-10-14,301.0
2004-10-15,305.0
2004-10-18,315.05
2004-10-19,319.0
2004-10-20,314.9
2004-10-21,305.0
2004-10-22,295.0
2004-10-25,300.0
2004-10-26,305.0
2004-10-27,305.0
2004-10-28,296.0
2004-10-29,296.0
2004-11-01,313.75
2004-11-02,327.0
2004-11-03,320.0
2004-11-04,320.0
2004-11-05,325.0
2004-11-08,327.0
2004-11-09,342.05
2004-11-10,340.0
2004-11-11,330.0
2004-11-12,344.9
2004-11-16,343.95
2004-11-17,338.0
2004-11-19,339.0
2004-11-22,318.7
2004-11-23,323.1
2004-11-24,327.0
2004-11-26,333.0
2004-11-29,332.5
2004-11-30,330.0
2004-12-01,335.0
2004-12-02,333.0
2004-12-03,332.1
2004-12-06,335.0
2004-12-07,335.1
2004-12-08,335.1
2004-12-09,341.0
2004-12-10,352.0
2004-12-13,355.0
2004-12-14,348.1
2004-12-15,340.0
2004-12-16,345.0
2004-12-17,350.0
2004-12-20,358.0
2004-12-21,350.0
2004-12-22,352.2
2004-12-23,350.0
2004-12-24,350.0
2004-12-27,352.0
2004-12-28,350.0
2004-12-29,344.9
2004-12-30,345.0
2004-12-31,353.9
2005-01-03,350.0
2005-01-04,346.0
2005-01-05,350.0
2005-01-06,345.0
2005-01-07,343.0
2005-01-10,343.0
2005-01-12,343.0
2005-01-13,342.0
2005-01-14,344.0
2005-01-17,349.0
2005-01-18,346.0
2005-01-19,353.0
2005-01-20,355.0
2005-01-24,348.0
2005-01-25,348.0
2005-01-26,346.0
2005-01-27,346.0
2005-01-28,347.0
2005-01-31,354.0
2005-02-01,350.0
2005-02-02,351.0
2005-02-03,348.5
2005-02-04,348.3
2005-02-07,349.0
2005-02-08,347.0
2005-02-09,348.9
2005-02-11,345.2
2005-02-14,345.1
2005-02-15,346.0
2005-02-16,345.0
2005-02-17,340.5
2005-02-18,340.5
2005-02-21,341.0
2005-02-22,341.0
2005-02-23,330.0
2005-02-24,327.0
2005-02-25,339.0
2005-02-28,345.0
2005-03-01,335.0
2005-03-02,335.0
2005-03-03,337.0
2005-03-04,337.0
2005-03-07,340.0
2005-03-08,337.0
2005-03-09,342.0
2005-03-10,350.0
2005-03-11,360.0
2005-03-14,362.0
2005-03-15,365.0
2005-03-16,367.0
2005-03-17,364.0
2005-03-18,360.0
2005-03-21,360.0
2005-03-22,363.0
2005-03-23,361.0
2005-03-24,356.2
2005-03-25,360.0
2005-03-28,358.0
2005-03-29,359.0
2005-03-30,354.1
2005-03-31,350.0
2005-04-01,355.0
2005-04-04,351.5
2005-04-05,353.1
2005-04-06,365.0
2005-04-07,370.0
2005-04-08,365.0
2005-04-11,365.0
2005-04-12,365.0
2005-04-13,370.0
2005-04-14,374.0
2005-04-15,378.0
2005-04-18,378.0
2005-04-19,378.0
2005-04-20,384.0
2005-04-25,380.0
2005-04-26,380.0
2005-04-27,380.0
2005-04-28,382.0
2005-04-29,383.0
2005-05-02,388.0
2005-05-03,360.0
2005-05-04,360.0
2005-05-05,362.0
2005-05-06,362.0
2005-05-09,363.0
2005-05-10,370.0
2005-05-11,369.0
2005-05-12,370.0
2005-05-13,370.0
2005-05-16,370.0
2005-05-17,370.1
2005-05-18,370.0
2005-05-19,370.0
2005-05-20,375.0
2005-05-23,375.0
2005-05-24,375.0
2005-05-25,389.0
2005-05-26,400.0
2005-05-27,409.0
2005-05-30,410.5
2005-05-31,419.9
2005-06-01,415.0
2005-06-02,410.0
2005-06-03,409.0
2005-06-06,406.0
2005-06-07,409.0
2005-06-08,410.0
2005-06-09,410.0
2005-06-10,414.0
2005-06-13,414.0
2005-06-14,425.0
2005-06-15,430.0
2005-06-16,431.0
2005-06-17,431.0
2005-06-20,431.0
2005-06-21,431.0
2005-06-22,430.0
2005-06-23,431.0
2005-06-24,433.0
2005-06-27,432.9
2005-06-28,434.0
2005-06-29,435.0
2005-06-30,435.0
2005-07-01,435.1
2005-07-04,442.0
2005-07-05,443.0
2005-07-06,440.0
2005-07-07,438.0
2005-07-08,440.0
2005-07-11,444.0
2005-07-12,444.2
2005-07-13,450.0
2005-07-14,459.9
2005-07-15,460.0
2005-07-18,465.05
2005-07-19,465.0
2005-07-20,468.1
2005-07-21,466.2
2005-07-22,465.0
2005-07-25,460.0
2005-07-26,460.0
2005-07-27,440.0
2005-07-28,441.0
2005-07-29,452.0
2005-08-01,449.0
2005-08-02,455.0
2005-08-03,462.0
2005-08-04,467.0
2005-08-05,466.0
2005-08-08,470.0
2005-08-09,468.0
2005-08-10,468.0
2005-08-11,466.0
2005-08-12,466.0
2005-08-15,470.0
2005-08-16,480.0
2005-08-17,501.0
2005-08-18,516.0
2005-08-19,531.0
2005-08-22,552.0
2005-08-23,576.0
2005-08-24,574.0
2005-08-25,550.0
2005-08-26,521.0
2005-08-29,541.0
2005-08-30,545.0
2005-08-31,547.0
2005-09-01,550.0
2005-09-02,553.0
2005-09-05,555.0
2005-09-06,554.0
2005-09-07,549.0
2005-09-08,534.0
2005-09-09,520.0
2005-09-12,538.0
2005-09-13,543.0
2005-09-14,538.0
2005-09-15,541.0
2005-09-16,540.0
2005-09-19,539.0
2005-09-20,540.0
2005-09-21,538.0
2005-09-22,538.0
2005-09-23,530.0
2005-09-26,535.0
2005-09-27,530.0
2005-09-28,526.0
2005-09-29,525.0
2005-09-30,525.0
2005-10-03,525.0
2005-10-04,525.0
2005-10-05,521.0
2005-10-06,523.0
2005-10-07,520.0
2005-10-10,534.0
2005-10-11,536.0
2005-10-12,536.0
