date,TQM
2017-09-14,910.0
2017-09-15,886.0
2017-09-18,900.0
2017-09-19,879.0
2017-09-20,870.0
2017-09-21,870.0
2017-09-25,866.0
2017-09-26,852.0
2017-09-27,860.0
2017-09-28,850.0
2017-09-29,830.0
2017-10-02,836.1
2017-10-03,850.0
2017-10-04,870.0
2017-10-05,851.0
2017-10-06,851.2
2017-10-09,851.2
2017-10-10,853.2
2017-10-11,855.2
2017-10-12,855.2
2017-10-13,877.0
2017-10-16,856.0
2017-10-17,860.0
2017-10-18,860.0
2017-10-19,855.3
2017-10-20,870.0
2017-10-23,856.4
2017-10-24,856.0
2017-10-25,856.7
2017-10-26,860.0
2017-10-27,870.0
2017-10-30,860.0
2017-10-31,870.0
2017-11-01,870.0
2017-11-02,861.0
2017-11-03,870.0
2017-11-07,875.0
2017-11-08,860.3
2017-11-09,861.1
2017-11-10,880.0
2017-11-13,880.0
2017-11-14,880.1
2017-11-15,885.0
2017-11-16,873.0
2017-11-17,873.1
2017-11-20,890.0
2017-11-21,880.0
2017-11-22,906.1
2017-11-23,949.0
2017-11-24,916.0
2017-11-27,915.0
2017-11-28,910.0
2017-11-29,915.5
2017-11-30,930.0
2017-12-04,911.0
2017-12-05,910.0
2017-12-06,910.0
2017-12-07,910.0
2017-12-08,892.0
2017-12-11,892.0
2017-12-12,905.0
2017-12-13,910.0
2017-12-14,919.0
2017-12-15,919.0
2017-12-18,902.0
2017-12-19,915.0
2017-12-20,915.0
2017-12-21,907.0
2017-12-22,900.0
2017-12-25,890.0
2017-12-26,910.0
2017-12-27,905.0
2017-12-28,905.2
2017-12-29,920.0
2018-01-02,911.1
2018-01-03,915.0
2018-01-04,907.1
2018-01-05,939.9
2018-01-08,945.0
2018-01-09,955.0
2018-01-10,934.3
2018-01-12,940.2
2018-01-15,987.9
2018-01-16,1010.0
2018-01-17,985.0
2018-01-18,1000.0
2018-01-19,1005.0
2018-01-22,1010.0
2018-01-23,1010.0
2018-01-24,1012.0
2018-01-25,1020.0
2018-01-26,1016.0
2018-01-29,1012.0
2018-01-30,1040.0
2018-01-31,1040.0
2018-02-01,1050.0
2018-02-02,1035.0
2018-02-05,1030.0
2018-02-06,1010.0
2018-02-07,1002.0
2018-02-08,1019.0
2018-02-09,1010.0
2018-02-12,997.0
2018-02-13,997.2
2018-02-14,1018.0
2018-02-15,1000.0
2018-02-16,1000.0
2018-02-19,1000.0
2018-02-20,1000.0
2018-02-21,998.0
2018-02-22,1000.0
2018-02-23,992.0
2018-02-26,1000.0
2018-02-27,1009.0
2018-02-28,1000.0
2018-03-01,1001.0
2018-03-02,1001.0
2018-03-05,1005.0
2018-03-06,1005.0
2018-03-07,1010.0
2018-03-08,1000.0
2018-03-09,1004.0
2018-03-12,995.8
2018-03-13,995.0
2018-03-14,995.0
2018-03-15,996.0
2018-03-16,994.1
2018-03-19,994.0
2018-03-20,995.0
2018-03-21,971.0
2018-03-22,967.0
2018-03-23,970.0
2018-03-26,979.0
2018-03-27,962.0
2018-03-28,962.0
2018-03-29,942.0
2018-03-30,960.0
2018-04-02,979.0
2018-04-03,977.0
2018-04-04,952.0
2018-04-05,978.0
2018-04-06,961.0
2018-04-09,960.1
2018-04-10,975.0
2018-04-11,977.9
2018-04-12,977.9
2018-04-13,996.0
2018-04-16,970.0
2018-04-17,970.0
2018-04-18,975.0
2018-04-19,972.5
2018-04-20,975.0
2018-04-23,963.1
2018-04-24,980.0
2018-04-25,990.0
2018-04-26,973.2
2018-04-27,990.0
2018-04-30,975.1
2018-05-02,993.5
2018-05-03,980.0
2018-05-04,985.0
2018-05-07,985.0
2018-05-08,976.0
2018-05-09,975.6
2018-05-10,976.1
2018-05-11,980.0
2018-05-14,976.0
2018-05-15,976.0
2018-05-16,940.0
2018-05-17,965.0
2018-05-18,974.0
2018-05-21,960.0
2018-05-22,960.0
2018-05-23,930.0
2018-05-24,910.0
2018-05-25,900.0
2018-05-28,900.0
2018-05-29,899.0
2018-05-30,881.0
2018-05-31,861.3
2018-06-01,900.0
2018-06-04,900.0
2018-06-05,899.0
2018-06-06,900.0
2018-06-07,900.0
2018-06-08,900.0
2018-06-11,900.0
2018-06-12,900.0
2018-06-13,885.0
2018-06-14,900.0
2018-06-18,915.0
2018-06-19,891.0
2018-06-20,900.1
2018-06-21,940.0
2018-06-22,940.0
2018-06-25,890.0
2018-06-26,890.0
2018-06-27,930.0
2018-06-28,925.0
2018-06-29,880.0
2018-07-02,876.1
2018-07-03,923.0
2018-07-04,923.0
2018-07-05,923.0
2018-07-06,919.0
2018-07-09,897.0
2018-07-10,881.0
2018-07-11,880.0
2018-07-12,875.0
2018-07-13,899.0
2018-07-16,840.0
2018-07-17,840.0
2018-07-18,840.0
2018-07-19,850.0
2018-07-20,890.0
2018-07-23,851.0
2018-07-24,851.0
2018-07-25,889.0
2018-07-26,851.0
2018-07-27,860.0
2018-07-31,850.0
2018-08-01,840.0
2018-08-02,840.0
2018-08-03,850.0
2018-08-06,827.1
2018-08-07,850.0
2018-08-08,865.0
2018-08-09,879.5
2018-08-10,886.0
2018-08-13,858.0
2018-08-15,858.0
2018-08-16,860.0
2018-08-17,869.0
2018-08-24,861.5
2018-08-27,861.5
2018-08-28,860.0
2018-08-29,846.0
2018-08-30,850.0
2018-08-31,860.0
2018-09-03,843.1
2018-09-04,858.0
2018-09-05,846.0
2018-09-06,843.0
2018-09-07,840.0
2018-09-10,810.5
2018-09-12,815.0
