date,ALM
2002-07-09,360.0
2002-07-10,357.1
2002-07-11,357.0
2002-07-12,305.0
2002-07-17,290.1
2002-07-18,290.0
2002-07-19,307.0
2002-07-23,312.0
2002-07-24,319.0
2002-07-25,310.1
2002-07-31,325.5
2002-08-01,344.0
2002-08-02,360.0
2002-08-07,345.0
2002-08-08,340.0
2002-08-16,330.0
2002-08-22,340.0
2002-08-26,347.0
2002-08-28,349.0
2002-08-29,349.0
2002-08-30,348.0
2002-09-02,349.95
2002-09-03,339.2
2002-09-05,333.0
2002-09-09,340.0
2002-09-10,339.0
2002-09-12,339.0
2002-09-13,339.0
2002-09-16,335.1
2002-09-17,321.0
2002-09-18,335.0
2002-09-19,339.0
2002-09-20,350.0
2002-09-23,343.0
2002-09-24,345.0
2002-09-25,352.0
2002-09-27,354.0
2002-10-01,358.0
2002-10-02,350.0
2002-10-03,358.0
2002-10-04,355.0
2002-10-07,353.0
2002-10-08,355.0
2002-10-10,363.0
2002-10-11,364.0
2002-10-17,367.0
2002-10-22,380.0
2002-10-23,370.0
2002-10-24,370.0
2002-10-25,375.0
2002-10-29,378.0
2002-10-30,378.0
2002-11-01,370.1
2002-11-12,372.0
2002-11-13,379.9
2002-11-14,377.0
2002-11-22,377.5
2002-11-26,380.0
2002-11-27,377.0
2002-11-29,375.0
2002-12-12,377.0
2002-12-13,372.0
2002-12-18,372.0
2002-12-19,356.0
2002-12-26,356.0
2002-12-27,357.1
2002-12-31,357.0
2003-01-03,358.5
2003-01-06,360.0
2003-01-07,361.0
2003-01-09,367.0
2003-01-10,370.0
2003-01-13,370.0
2003-01-14,375.0
2003-01-21,375.0
2003-01-23,375.0
2003-01-27,379.05
2003-01-28,379.1
2003-01-29,377.1
2003-01-30,380.25
2003-01-31,400.0
2003-02-04,420.0
2003-02-05,419.0
2003-02-06,420.0
2003-02-07,406.0
2003-02-10,420.0
2003-02-19,423.0
2003-02-20,427.0
2003-02-21,431.1
2003-02-25,431.1
2003-02-27,445.0
2003-02-28,445.0
2003-03-06,446.0
2003-03-10,445.0
2003-03-12,440.0
2003-03-13,440.0
2003-03-17,436.0
2003-03-18,436.0
2003-03-19,444.0
2003-03-20,445.0
2003-03-21,444.0
2003-03-24,436.0
2003-03-26,430.0
2003-03-27,445.0
2003-04-01,440.0
2003-04-03,430.0
2003-04-04,430.0
2003-04-07,421.0
2003-04-08,414.0
2003-04-09,428.0
2003-04-10,430.0
2003-04-11,435.0
2003-04-14,435.0
2003-04-16,423.0
2003-04-17,435.0
2003-04-18,440.0
2003-04-22,440.0
2003-04-24,440.0
2003-04-25,441.0
2003-04-29,450.0
2003-04-30,459.0
2003-05-05,449.0
