date,DYT
2024-07-05,254.9
2024-07-08,255.5
2024-07-09,243.0
2024-07-10,244.0
2024-07-11,239.95
2024-07-12,238.95
2024-07-15,238.95
2024-07-16,238.5
2024-07-17,236.0
2024-07-18,239.25
2024-07-19,239.0
2024-07-22,239.0
2024-07-23,235.0
2024-07-24,235.6
2024-07-25,239.0
2024-07-26,238.95
2024-07-29,239.45
2024-07-31,236.4
2024-08-01,236.2
2024-08-02,240.0
2024-08-05,238.5
2024-08-06,240.0
2024-08-07,239.0
2024-08-08,239.9
2024-08-09,234.0
2024-08-12,238.95
2024-08-13,238.95
2024-08-15,236.1
2024-08-16,239.45
2024-08-19,235.0
2024-08-22,239.0
2024-08-23,238.0
2024-08-26,238.0
2024-08-27,237.0
2024-08-28,235.0
2024-08-29,237.0
2024-08-30,234.0
2024-09-02,234.0
2024-09-03,238.0
2024-09-04,238.0
2024-09-05,238.0
2024-09-06,238.95
2024-09-09,234.3
2024-09-10,235.0
2024-09-11,235.0
2024-09-12,235.0
2024-09-13,233.15
2024-09-18,232.75
2024-09-19,234.0
2024-09-20,236.8
2024-09-23,236.0
2024-09-24,236.9
2024-09-25,237.5
2024-09-26,239.0
2024-09-27,247.0
2024-09-30,245.0
2024-10-01,225.0
2024-10-02,225.0
2024-10-03,230.5
2024-10-04,226.4
2024-10-07,226.0
2024-10-08,225.0
2024-10-09,228.0
2024-10-10,229.5
2024-10-11,220.0
2024-10-14,225.0
2024-10-15,221.0
2024-10-16,220.0
2024-10-17,219.0
2024-10-18,223.0
2024-10-21,221.0
2024-10-22,221.0
2024-10-23,221.0
2024-10-24,222.0
2024-10-25,225.0
2024-10-28,225.0
2024-10-29,227.75
2024-10-30,225.0
2024-10-31,226.0
2024-11-01,226.0
2024-11-04,226.0
2024-11-05,226.0
2024-11-07,228.0
2024-11-08,229.0
2024-11-11,225.5
2024-11-12,229.0
2024-11-13,224.55
2024-11-14,225.0
2024-11-15,228.95
2024-11-19,229.45
2024-11-20,229.45
2024-11-21,228.9
2024-11-22,228.9
2024-11-25,243.0
2024-11-26,255.0
2024-11-27,249.75
2024-11-28,241.0
2024-11-29,249.95
2024-12-02,245.5
2024-12-03,253.0
2024-12-04,256.0
2024-12-05,253.95
2024-12-06,252.9
2024-12-09,252.9
2024-12-10,252.85
2024-12-11,252.0
2024-12-12,249.95
2024-12-13,247.0
2024-12-16,243.05
2024-12-17,249.4
2024-12-18,249.0
2024-12-19,249.0
2024-12-20,248.0
2024-12-23,243.3
2024-12-24,242.5
2024-12-25,240.2
2024-12-26,244.0
2024-12-27,245.0
2024-12-30,248.0
2024-12-31,259.5
2025-01-02,269.9
2025-01-03,290.0
2025-01-06,318.95
2025-01-07,327.0
2025-01-08,320.0
2025-01-09,313.0
2025-01-10,308.0
2025-01-13,307.95
2025-01-15,298.8
2025-01-16,299.0
2025-01-17,311.45
2025-01-20,300.1
2025-01-21,298.0
2025-01-22,298.0
2025-01-23,307.0
2025-01-24,309.0
2025-01-27,312.55
2025-01-28,308.75
2025-01-29,310.0
2025-01-30,305.0
2025-01-31,305.0
2025-02-03,304.1
2025-02-04,303.0
2025-02-05,304.9
2025-02-06,300.0
2025-02-07,301.6
2025-02-10,297.0
2025-02-11,295.0
2025-02-12,299.6
2025-02-13,295.0
2025-02-14,294.0
2025-02-17,298.95
