date,ARD
2023-12-21,441.15
2023-12-22,440.0
2023-12-25,437.5
2023-12-26,437.3
2023-12-27,437.0
2023-12-28,440.0
2023-12-29,445.0
2024-01-02,445.0
2024-01-03,449.0
2024-01-04,445.0
2024-01-05,445.0
2024-01-08,441.0
2024-01-09,446.0
2024-01-10,445.0
2024-01-12,445.0
2024-01-15,446.0
2024-01-16,445.0
2024-01-17,459.9
2024-01-18,464.5
2024-01-19,469.95
2024-01-22,478.0
2024-01-23,478.0
2024-01-24,475.0
2024-01-25,469.95
2024-01-26,480.0
2024-01-29,491.0
2024-01-30,494.0
2024-01-31,485.0
2024-02-01,493.9
2024-02-02,492.9
2024-02-05,470.1
2024-02-06,487.0
2024-02-07,489.65
2024-02-08,488.0
2024-02-09,495.0
2024-02-12,500.0
2024-02-13,500.0
2024-02-14,500.0
2024-02-15,499.9
2024-02-16,500.0
2024-02-19,502.0
2024-02-20,502.0
2024-02-21,500.0
2024-02-22,503.0
2024-02-23,502.0
2024-02-26,503.0
2024-02-27,505.0
2024-02-28,509.9
2024-02-29,508.0
2024-03-01,500.0
2024-03-04,511.8
2024-03-05,511.0
2024-03-06,503.0
2024-03-07,505.0
2024-03-08,505.0
2024-03-11,505.9
2024-03-12,506.0
2024-03-13,503.0
2024-03-14,505.0
2024-03-15,510.0
2024-03-18,512.0
2024-03-19,508.0
2024-03-20,505.0
2024-03-21,505.0
2024-03-22,505.0
2024-03-25,512.0
2024-03-26,510.0
2024-03-27,504.5
2024-03-28,500.0
2024-03-29,500.0
2024-04-01,519.0
2024-04-02,518.4
2024-04-03,517.8
2024-04-04,514.9
2024-04-05,520.0
2024-04-08,529.9
2024-04-09,510.0
2024-04-15,540.0
2024-04-16,549.0
2024-04-17,525.0
2024-04-18,543.9
2024-04-19,515.0
2024-04-22,505.0
2024-04-23,505.0
2024-04-24,503.0
2024-04-25,522.0
2024-04-26,542.0
2024-04-29,542.0
2024-04-30,542.0
2024-05-02,542.9
2024-05-03,550.0
2024-05-06,550.0
2024-05-07,544.0
2024-05-08,549.0
2024-05-09,546.0
2024-05-10,530.0
2024-05-13,552.0
2024-05-14,549.8
2024-05-15,525.0
2024-05-16,525.0
2024-05-17,525.0
2024-05-20,519.9
2024-05-21,525.0
2024-05-22,502.1
2024-05-23,501.1
2024-05-24,526.9
2024-05-27,496.0
2024-05-28,492.9
2024-05-29,490.2
2024-05-30,500.0
2024-05-31,490.0
2024-06-03,480.0
2024-06-04,486.0
2024-06-05,485.0
2024-06-06,494.5
2024-06-07,491.0
2024-06-10,491.0
2024-06-11,495.0
2024-06-12,499.0
2024-06-13,503.9
2024-06-14,503.9
2024-06-19,510.0
2024-06-20,486.1
2024-06-21,491.0
2024-06-24,491.0
2024-06-25,491.2
2024-06-26,494.0
2024-06-27,492.0
2024-06-28,500.0
2024-07-01,500.0
2024-07-02,488.0
2024-07-03,500.0
2024-07-04,501.0
2024-07-05,510.0
2024-07-08,506.0
2024-07-09,498.0
2024-07-10,511.0
2024-07-11,520.0
2024-07-12,525.0
2024-07-15,525.0
2024-07-16,523.0
2024-07-17,520.3
2024-07-18,515.0
2024-07-19,512.0
2024-07-22,509.0
2024-07-23,508.0
2024-07-24,507.3
2024-07-25,510.0
2024-07-26,510.0
2024-07-29,517.0
2024-07-31,515.9
2024-08-01,515.0
2024-08-02,512.1
2024-08-05,500.0
2024-08-06,500.1
2024-08-07,509.9
2024-08-08,506.0
2024-08-09,500.0
2024-08-12,487.1
2024-08-13,509.3
2024-08-15,508.9
2024-08-16,507.0
2024-08-19,505.0
2024-08-22,505.0
2024-08-23,505.0
2024-08-26,504.8
2024-08-27,499.9
2024-08-28,499.0
2024-08-29,500.0
2024-08-30,502.0
2024-09-02,496.2
2024-09-03,495.35
2024-09-04,499.95
2024-09-05,497.95
2024-09-06,500.0
2024-09-09,496.0
2024-09-10,482.0
2024-09-11,495.0
2024-09-12,495.0
2024-09-13,500.0
2024-09-18,495.0
2024-09-19,495.0
2024-09-20,496.0
2024-09-23,494.0
2024-09-24,498.0
2024-09-25,490.0
2024-09-26,496.0
2024-09-27,498.5
2024-09-30,497.0
2024-10-01,492.0
2024-10-02,493.0
2024-10-03,515.0
2024-10-04,518.0
2024-10-07,507.0
2024-10-08,520.0
2024-10-09,510.0
2024-10-10,504.0
2024-10-11,515.0
2024-10-14,511.0
2024-10-15,495.0
2024-10-16,496.0
2024-10-17,503.0
2024-10-18,503.0
2024-10-21,500.0
2024-10-22,500.0
2024-10-23,499.5
2024-10-24,500.0
2024-10-25,500.0
2024-10-28,496.0
2024-10-29,496.0
2024-10-30,497.0
2024-10-31,499.0
2024-11-01,500.0
2024-11-04,496.0
2024-11-05,490.0
2024-11-07,499.9
2024-11-08,500.0
2024-11-11,493.5
2024-11-12,495.0
2024-11-13,494.5
2024-11-14,499.0
2024-11-15,504.0
2024-11-19,504.6
2024-11-20,500.0
2024-11-21,500.0
2024-11-22,490.0
2024-11-25,482.0
2024-11-26,498.5
2024-11-27,498.5
2024-11-28,495.0
2024-11-29,495.0
2024-12-02,490.0
2024-12-03,484.0
2024-12-04,489.0
2024-12-05,489.0
2024-12-06,483.5
2024-12-09,489.5
2024-12-10,491.0
2024-12-11,484.1
2024-12-12,486.0
2024-12-13,486.1
2024-12-16,486.0
2024-12-17,494.9
2024-12-18,490.0
2024-12-19,485.0
2024-12-20,485.0
2024-12-23,489.0
2024-12-24,484.0
2024-12-25,484.0
2024-12-26,481.6
2024-12-27,480.0
2024-12-30,486.8
2024-12-31,479.95
2025-01-02,484.9
2025-01-03,487.8
2025-01-06,487.8
2025-01-07,486.0
2025-01-08,483.5
2025-01-09,478.6
2025-01-10,478.0
2025-01-13,475.0
2025-01-15,475.0
2025-01-16,475.0
2025-01-17,475.0
2025-01-20,475.05
2025-01-21,475.0
2025-01-22,472.4
2025-01-23,470.0
2025-01-24,478.0
2025-01-27,475.05
2025-01-28,475.0
2025-01-29,478.0
2025-01-30,480.0
2025-01-31,478.35
2025-02-03,476.4
2025-02-04,480.0
2025-02-05,477.2
2025-02-06,480.9
2025-02-07,477.0
2025-02-10,477.5
2025-02-11,482.0
2025-02-12,479.1
2025-02-13,480.0
2025-02-14,480.0
2025-02-17,480.0
2025-02-18,479.0
2025-02-19,478.05
2025-02-20,479.8
2025-02-21,475.2
2025-02-24,478.0
2025-02-25,476.3
2025-02-26,478.0
2025-02-27,478.9
2025-02-28,480.0
2025-03-03,480.1
2025-03-04,476.5
2025-03-05,471.1
2025-03-06,473.1
2025-03-07,479.95
2025-03-10,479.8
2025-03-11,475.0
2025-03-12,478.95
2025-03-13,476.5
2025-03-14,495.0
2025-03-17,488.1
2025-03-18,480.0
2025-03-19,480.0
2025-03-20,486.5
2025-03-21,494.0
2025-03-24,485.55
2025-03-25,480.0
2025-03-26,490.0
2025-03-27,485.0
2025-03-28,484.0
2025-04-02,485.0
2025-04-03,480.0
2025-04-04,478.05
2025-04-07,470.0
2025-04-08,465.0
2025-04-09,465.0
2025-04-10,472.0
2025-04-11,470.0
2025-04-14,475.0
2025-04-15,475.1
2025-04-16,477.0
2025-04-17,478.0
2025-04-18,478.0
2025-04-21,479.15
2025-04-22,486.0
2025-04-23,485.0
2025-04-24,484.9
2025-04-25,485.0
2025-04-28,482.0
2025-04-29,480.0
2025-04-30,475.1
2025-05-02,480.0
2025-05-05,484.0
2025-05-06,484.0
2025-05-07,482.0
2025-05-08,479.5
2025-05-09,479.5
