date,EQD
2003-12-10,780.0
2003-12-11,777.0
2003-12-12,777.0
2003-12-15,784.0
2003-12-16,780.0
2003-12-17,777.0
2003-12-18,777.0
2003-12-19,777.0
2003-12-22,761.0
2003-12-23,770.0
2003-12-26,790.0
2003-12-30,777.0
2003-12-31,777.0
2004-01-06,784.0
2004-01-07,784.0
2004-01-08,777.0
2004-01-12,784.0
2004-01-13,800.0
2004-01-14,800.0
2004-01-15,801.0
2004-01-19,800.0
2004-01-21,805.0
2004-01-22,805.0
2004-01-27,850.0
2004-01-28,850.0
2004-01-29,900.0
2004-01-30,855.0
2004-02-03,855.0
2004-02-04,856.0
2004-02-05,860.0
2004-02-06,902.0
2004-02-09,956.0
2004-02-10,965.0
2004-02-11,1000.0
2004-02-12,1030.0
2004-02-13,1030.0
2004-02-16,1027.0
2004-02-17,1000.0
2004-02-18,968.0
2004-02-19,1000.0
2004-02-20,962.0
2004-02-23,970.0
2004-02-24,1000.0
2004-02-25,1000.0
2004-02-26,1000.0
2004-03-02,980.0
2004-03-03,1010.0
2004-03-04,1011.0
2004-03-05,1020.0
2004-03-09,1020.0
2004-03-10,1025.0
2004-03-11,1025.0
2004-03-12,1025.0
2004-03-15,1025.0
2004-03-16,1017.0
2004-03-17,1025.0
2004-03-19,1030.0
2004-03-22,1025.0
2004-03-24,1025.0
2004-03-25,1028.0
2004-03-26,1025.0
2004-03-30,1026.0
2004-03-31,1025.0
2004-04-02,1015.0
2004-04-05,1025.0
2004-04-06,1015.0
2004-04-09,1015.0
2004-04-14,1075.0
2004-04-15,1075.0
2004-04-16,1075.0
2004-04-19,1075.0
2004-04-20,1075.0
2004-04-22,1075.0
2004-04-26,1085.0
2004-04-27,1080.0
2004-04-28,1101.0
2004-04-29,1110.0
2004-04-30,1151.0
2004-05-04,1153.0
2004-05-05,1161.0
2004-05-07,1200.0
2004-05-10,1195.0
2004-05-11,1170.0
2004-05-13,1135.0
2004-05-14,1068.0
2004-05-17,1025.0
2004-05-18,1030.0
2004-05-19,1050.0
2004-05-21,1113.0
2004-05-24,1120.0
2004-05-27,1141.0
2004-05-28,1150.0
2004-05-31,1160.0
2004-06-01,1170.0
2004-06-02,1179.0
2004-06-03,1180.0
2004-06-04,1180.0
2004-06-07,1200.0
2004-06-08,1200.0
2004-06-10,1200.0
2004-06-16,1200.0
2004-06-22,1199.0
2004-06-23,1180.0
2004-06-25,1181.0
2004-06-28,1200.0
2004-07-01,1155.0
2004-07-02,1160.0
2004-07-06,1160.0
2004-07-08,1100.0
2004-07-12,1100.0
2004-07-14,1120.0
2004-07-15,1180.0
2004-07-16,1130.0
2004-07-28,1130.0
2004-07-30,1115.0
2004-08-03,1125.0
2004-08-06,1080.0
2004-08-10,1125.0
2004-08-11,1125.0
2004-08-16,1075.0
2004-08-17,1120.0
