date,SMI
2003-12-22,560.0
2003-12-24,550.0
2003-12-26,550.0
2003-12-29,550.0
2003-12-30,540.0
2003-12-31,540.0
2004-01-08,540.0
2004-01-09,545.0
2004-01-12,540.0
2004-01-13,540.0
2004-01-16,570.0
2004-01-19,570.0
2004-01-20,570.0
2004-01-22,570.0
2004-01-23,585.0
2004-01-27,585.0
2004-01-28,586.0
2004-01-29,595.0
2004-01-30,599.0
2004-02-03,626.0
2004-02-04,635.0
2004-02-05,645.0
2004-02-06,683.0
2004-02-09,683.0
2004-02-10,690.0
2004-02-11,694.0
2004-02-12,701.0
2004-02-13,704.0
2004-02-16,701.0
2004-02-17,700.0
2004-02-18,700.0
2004-02-19,690.0
2004-02-20,650.0
2004-02-24,698.0
2004-02-25,700.0
2004-02-26,690.0
2004-02-27,695.0
2004-03-01,695.0
2004-03-02,695.0
2004-03-04,695.0
2004-03-05,700.0
2004-03-08,703.0
2004-03-09,720.0
2004-03-10,760.0
2004-03-11,766.0
2004-03-12,800.0
2004-03-15,800.0
2004-03-16,805.0
2004-03-17,810.0
2004-03-18,807.0
2004-03-19,797.0
2004-03-22,790.0
2004-03-25,658.0
2004-03-26,620.0
2004-03-29,655.0
2004-03-31,655.0
2004-04-01,668.0
2004-04-05,668.0
2004-04-06,670.0
2004-04-09,652.0
2004-04-12,671.0
2004-04-19,688.0
2004-04-21,688.0
2004-04-22,690.0
2004-04-23,689.0
2004-04-26,700.0
2004-04-27,705.0
2004-04-28,704.0
2004-04-29,703.0
2004-05-05,683.0
2004-05-06,683.0
2004-05-07,683.0
2004-05-10,680.0
2004-05-11,670.0
2004-05-12,690.0
2004-05-13,685.0
2004-05-14,670.0
2004-05-17,630.0
2004-05-18,630.0
2004-05-19,652.0
2004-05-25,652.0
2004-05-26,640.0
2004-05-27,641.0
2004-05-31,678.0
2004-06-02,660.0
2004-06-04,665.0
2004-06-08,665.0
2004-06-09,665.0
2004-06-10,656.0
2004-06-11,652.0
2004-06-14,655.0
2004-06-17,655.0
2004-06-18,652.0
2004-06-21,652.0
2004-06-23,613.0
2004-06-24,613.0
2004-06-25,580.0
2004-06-28,580.0
2004-06-30,554.0
2004-07-01,534.0
2004-07-02,566.0
2004-07-06,566.0
2004-07-08,580.0
2004-07-14,579.0
2004-07-16,560.0
2004-07-19,560.0
2004-07-20,560.0
2004-07-21,560.0
2004-07-22,585.0
2004-07-23,585.0
2004-07-27,600.0
2004-07-30,564.0
2004-08-03,580.0
2004-08-05,580.0
2004-08-09,579.0
2004-08-12,570.0
2004-08-17,561.0
2004-08-18,566.0
2004-09-01,579.0
2004-09-07,580.0
2004-09-08,580.0
2004-09-09,581.0
2004-09-10,585.0
2004-09-14,581.0
2004-09-17,581.0
2004-09-20,585.0
2004-09-21,581.0
2004-09-22,585.0
2004-09-23,580.0
2004-09-24,580.0
2004-09-27,580.0
2004-10-04,580.0
2004-10-12,565.0
2004-10-14,532.0
2004-10-18,532.0
2004-10-19,501.0
2004-10-20,510.0
2004-10-21,510.0
2004-10-22,500.0
2004-10-25,500.0
2004-10-29,470.0
2004-11-01,485.0
2004-11-02,495.0
2004-11-03,490.0
2004-11-04,485.0
2004-11-05,495.0
2004-11-08,495.0
2004-11-10,471.0
2004-11-11,470.0
2004-11-12,470.0
2004-11-22,470.0
2004-11-23,460.6
2004-11-29,462.0
2004-12-03,470.0
2004-12-06,470.0
2004-12-09,473.0
2004-12-14,470.0
2004-12-15,470.0
2004-12-16,470.0
2004-12-17,468.95
2004-12-21,463.0
2004-12-22,470.0
2004-12-23,461.0
2004-12-24,461.0
2004-12-27,461.0
2004-12-28,461.0
2004-12-29,460.0
2004-12-30,460.0
2004-12-31,452.5
2005-01-03,451.0
2005-01-04,455.0
2005-01-05,430.0
2005-01-06,430.0
2005-01-13,445.0
2005-01-17,445.0
2005-01-19,450.0
2005-01-20,460.0
2005-01-24,460.0
2005-01-26,470.0
2005-01-27,465.0
2005-01-28,457.0
2005-01-31,460.0
2005-02-01,460.0
2005-02-04,465.0
2005-02-07,460.0
2005-02-08,464.5
2005-02-11,465.0
2005-02-14,492.9
2005-02-15,465.0
2005-02-17,455.0
2005-02-18,455.0
2005-02-21,455.0
2005-02-22,465.0
2005-02-23,465.0
2005-02-28,470.0
2005-03-01,456.1
2005-03-02,460.0
2005-03-03,460.0
2005-03-04,461.0
2005-03-07,461.0
2005-03-08,465.0
2005-03-09,465.0
2005-03-10,465.0
2005-03-11,467.0
2005-03-14,475.0
2005-03-15,468.0
2005-03-16,485.0
2005-03-21,402.85
2005-03-23,356.0
2005-03-24,350.0
2005-03-25,329.0
2005-03-28,325.0
2005-03-29,320.0
2005-03-30,310.0
2005-03-31,309.95
2005-04-04,281.0
2005-04-05,297.0
2005-04-06,313.0
2005-04-07,323.0
2005-04-11,336.0
2005-04-12,320.0
2005-04-14,317.95
2005-04-19,307.0
2005-04-20,305.0
2005-04-26,301.0
2005-04-27,304.0
2005-04-28,320.0
2005-04-29,310.0
2005-05-04,301.0
2005-05-05,300.1
2005-05-06,298.0
2005-05-09,300.0
2005-05-10,300.0
2005-05-11,293.1
2005-05-12,283.0
2005-05-13,270.0
2005-05-16,269.0
2005-05-17,253.0
2005-05-18,238.0
2005-05-19,247.0
2005-05-20,251.0
2005-05-23,251.0
2005-05-24,260.0
2005-05-25,251.1
2005-05-26,266.15
2005-05-27,282.1
2005-05-30,297.0
2005-05-31,314.7
2005-06-02,308.0
2005-06-03,308.0
2005-06-06,308.0
2005-06-07,308.0
2005-06-13,308.0
2005-06-14,308.0
2005-06-15,308.0
2005-06-16,305.0
2005-06-17,305.0
2005-06-21,300.0
2005-06-22,299.95
2005-06-23,299.0
2005-06-24,300.0
2005-06-28,300.0
2005-06-30,290.0
2005-07-04,277.1
2005-07-08,275.0
2005-07-11,275.1
2005-07-12,275.0
2005-07-13,270.1
2005-07-14,280.05
2005-07-19,285.05
2005-07-20,283.0
2005-07-21,297.0
2005-07-22,297.0
2005-07-26,295.1
2005-07-27,297.0
2005-07-28,300.0
2005-07-29,300.0
2005-08-01,304.0
2005-08-02,304.0
2005-08-03,304.0
2005-08-04,311.0
2005-08-05,323.0
2005-08-08,330.0
2005-08-09,328.0
2005-08-12,315.0
2005-08-16,320.0
2005-08-17,339.05
2005-08-18,359.3
2005-08-19,380.0
2005-08-22,401.85
2005-08-23,418.0
2005-08-24,412.95
2005-08-30,363.65
2005-09-01,354.6
2005-09-02,349.2
2005-09-05,349.2
2005-09-06,345.0
2005-09-07,337.0
2005-09-08,350.0
2005-09-09,350.0
2005-09-12,360.0
2005-09-13,371.5
2005-09-14,391.0
2005-09-19,412.95
2005-09-20,402.0
2005-09-21,426.0
2005-09-22,436.0
2005-09-23,416.0
2005-09-26,438.0
2005-09-27,438.0
2005-09-28,434.0
2005-09-29,430.0
2005-09-30,430.0
2005-10-05,425.1
2005-10-06,430.0
2005-10-07,435.0
2005-10-10,445.0
2005-10-11,445.0
2005-10-12,445.5
2005-10-13,450.0
2005-10-14,450.0
2005-10-17,450.0
2005-10-18,449.0
2005-10-19,448.95
2005-10-20,443.0
2005-10-21,435.0
2005-10-24,433.0
2005-10-25,443.0
2005-10-26,449.0
2005-10-27,455.15
2005-10-28,463.0
2005-10-31,464.05
2005-11-01,477.05
2005-11-02,478.0
2005-11-03,477.0
2005-11-07,491.0
2005-11-08,490.0
2005-11-09,475.0
2005-11-10,475.0
2005-11-11,475.0
2005-11-14,481.0
2005-11-15,471.0
2005-11-21,472.0
2005-11-22,475.0
2005-11-23,471.0
2005-11-24,475.0
2005-11-25,475.0
2005-11-28,472.0
2005-11-29,490.0
2005-11-30,500.0
2005-12-01,530.0
2005-12-02,549.0
2005-12-05,545.0
2005-12-06,550.0
2005-12-07,552.0
2005-12-08,550.0
2005-12-09,563.0
2005-12-13,631.0
2005-12-14,630.0
2005-12-15,628.0
2005-12-16,620.0
2005-12-19,625.0
2005-12-20,620.0
2005-12-21,602.0
2005-12-22,602.0
2005-12-23,602.0
2005-12-26,559.0
2005-12-27,600.0
2005-12-28,623.0
2005-12-29,600.0
2005-12-30,636.0
2006-01-04,670.0
2006-01-05,670.0
2006-01-06,704.0
2006-01-09,713.0
2006-01-10,755.0
2006-01-13,789.0
2006-01-16,789.0
2006-01-17,750.0
2006-01-18,747.0
2006-01-19,728.0
2006-01-20,755.0
2006-01-23,778.0
2006-01-24,798.0
2006-01-25,800.0
2006-01-26,811.0
2006-01-27,815.0
2006-01-30,849.0
2006-02-01,898.0
2006-02-02,898.0
2006-02-03,851.0
2006-02-06,898.0
2006-02-07,951.0
2006-02-08,974.0
2006-02-09,1005.0
2006-02-10,1065.0
2006-02-13,1065.0
2006-02-14,1059.0
2006-02-15,1051.0
2006-02-16,1059.0
2006-02-17,1100.0
2006-02-20,1150.0
2006-02-21,1165.0
2006-02-22,1279.0
2006-02-23,1339.0
2006-02-24,1275.0
2006-02-27,1275.0
2006-02-28,1250.0
2006-03-01,1300.0
2006-03-02,1320.0
2006-03-03,1370.0
2006-03-06,1370.0
2006-03-07,1370.0
2006-03-08,1300.0
2006-03-09,1222.0
2006-03-10,1220.0
2006-03-13,1181.0
2006-03-14,1111.0
2006-03-15,1045.0
2006-03-17,1025.0
2006-03-20,1010.0
2006-03-21,1010.0
2006-03-22,1020.0
2006-03-23,1000.0
2006-03-24,1005.0
2006-03-27,1000.0
2006-03-28,1000.0
2006-03-29,1000.0
2006-03-30,990.0
2006-03-31,1000.0
2006-04-03,1001.0
2006-04-04,1024.0
2006-04-05,1000.0
2006-04-06,1000.0
2006-04-07,998.0
2006-04-10,1000.0
2006-04-13,1000.0
2006-04-18,940.0
2006-04-19,950.0
2006-04-21,950.0
2006-04-24,950.0
2006-04-25,950.0
2006-04-26,945.0
2006-04-27,930.0
2006-04-28,985.0
2006-05-02,940.0
2006-05-03,985.0
2006-05-04,1000.0
2006-05-05,1060.0
2006-05-08,1123.0
