date,IMO
2020-12-16,94.0
2020-12-17,96.44
2020-12-18,96.37
2020-12-21,93.0
2020-12-22,93.1
2020-12-23,94.0
2020-12-24,92.0
2020-12-25,95.45
2020-12-28,96.07
2020-12-29,93.83
2020-12-30,93.0
2020-12-31,94.0
2021-01-04,92.0
2021-01-05,93.99
2021-01-06,93.98
2021-01-07,93.95
2021-01-08,92.31
2021-01-12,93.0
2021-01-13,94.0
2021-01-14,92.61
2021-01-15,92.0
2021-01-18,92.0
2021-01-19,93.48
2021-01-20,93.33
2021-01-21,92.6
2021-01-22,93.11
2021-01-25,93.5
2021-01-26,92.64
2021-01-27,93.0
2021-01-28,92.99
2021-01-29,93.44
2021-02-01,92.63
2021-02-02,93.97
2021-02-03,93.95
2021-02-04,93.0
2021-02-05,93.78
2021-02-08,93.78
2021-02-09,92.5
2021-02-10,92.7
2021-02-11,91.79
2021-02-12,91.79
2021-02-15,92.0
2021-02-16,91.35
2021-02-17,91.0
2021-02-18,92.2
2021-02-19,92.0
2021-02-22,92.01
2021-02-23,92.0
2021-02-24,92.0
2021-02-25,93.69
2021-02-26,92.6
2021-03-01,93.74
2021-03-02,93.74
2021-03-03,93.74
2021-03-04,92.05
2021-03-05,92.1
2021-03-08,93.63
2021-03-09,93.11
2021-03-10,92.5
2021-03-11,92.1
2021-03-12,92.4
2021-03-15,92.11
2021-03-16,93.0
2021-03-17,92.6
2021-03-18,92.42
2021-03-19,92.4
2021-03-22,92.3
2021-03-23,93.3
2021-03-24,93.23
2021-03-25,93.01
2021-03-26,92.52
2021-03-29,93.0
2021-03-30,92.25
2021-03-31,92.25
2021-04-01,92.5
2021-04-02,93.0
2021-04-05,92.65
2021-04-06,93.0
2021-04-07,93.0
2021-04-08,93.3
2021-04-09,93.9
2021-04-12,93.9
2021-04-13,97.0
2021-04-14,94.2
2021-04-15,96.99
2021-04-16,96.98
2021-04-19,95.12
2021-04-20,94.15
2021-04-21,94.15
2021-04-22,95.2
2021-04-23,95.0
2021-04-26,95.0
2021-04-27,96.5
2021-04-28,98.0
2021-04-29,98.0
2021-04-30,98.0
2021-05-03,98.0
2021-05-04,98.0
2021-05-05,97.5
2021-05-06,96.11
2021-05-07,97.5
2021-05-10,97.0
2021-05-11,96.2
2021-05-12,96.5
2021-05-17,96.7
2021-05-18,97.0
2021-05-19,97.0
2021-05-20,96.2
2021-05-21,96.0
2021-05-24,96.0
2021-05-25,97.0
2021-05-26,96.99
2021-05-27,96.0
